Name,#Call
.TAU,1
APPLU,1
SSOR,2
RHS,253
MPI_Finalize(),1
EXCHANGE_1,100001
EXCHANGE_3,508
MPI_Recv(),25100
JACLD,100001
JACU,100001
BLTS,100001
BUTS,100001
MPI_Wait(),255.5
INIT_COMM,1
MPI_Init(),1
SETIV,2
ERHS,1
MPI_Send(),25355.5
ERROR,1
EXACT,100001
SETBV,2
L2NORM,4
MPI_Allreduce(),10
READ_INPUT,1
ALLOC_SPACE,1
BCAST_INPUTS,1
MPI_Bcast(),10
MPI_Irecv(),255.5
PINTGR,1
VERIFY,0.5
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_5,2
PROC_GRID,1
SETCOEFF,1
MPI_Comm_size(),1
SUBDOMAIN,1
EXCHANGE_6,1
ISQRT2,1
MPI_Comm_rank(),1
NEIGHBORS,1
SET_CLASS,0.5
