Name,#Call
.TAU,1
APPLU,1
SSOR,2
RHS,253
MPI_Finalize(),1
EXCHANGE_1,160640
MPI_Recv(),80320
EXCHANGE_3,508
MPI_Wait(),510
JACLD,100001
BLTS,100001
JACU,100001
BUTS,100001
SETIV,2
INIT_COMM,1
MPI_Init(),1
MPI_Send(),80830
ERHS,1
ERROR,1
EXACT,100001
SETBV,2
L2NORM,4
MPI_Allreduce(),10
ALLOC_SPACE,1
MPI_Irecv(),510
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
PINTGR,1
VERIFY,0.25
MPI_Barrier(),2
EXCHANGE_4,1
EXCHANGE_5,1
EXCHANGE_6,1
PROC_GRID,1
SETCOEFF,1
MPI_Comm_rank(),1
MPI_Comm_size(),1
ISQRT2,1
NEIGHBORS,1
SUBDOMAIN,1
SET_CLASS,0.25
