Name,#Call
.TAU,1
MPSP,1
ADI,401
COPY_FACES,402
COMPUTE_RHS,402
MPI_Finalize(),1
X_SOLVE,401
Z_SOLVE,401
Y_SOLVE,401
SETUP_MPI,1
MPI_Init(),1
MPI_Waitall(),7620
LHSX,1604
LHSZ,1604
LHSY,1604
MPI_Isend(),9630
TZETAR,1604
INITIALIZE,2
TXINVR,401
ADD,401
EXACT_SOLUTION,100001
PINVR,1604
NINVR,1604
MPI_Irecv(),9630
EXACT_RHS,1
MPI_Barrier(),2
VERIFY,1
LHSINIT,1
ERROR_NORM,1
MPI_Comm_dup(),2
MPI_Bcast(),4
MPI_Allreduce(),2
RHS_NORM,1
ALLOC_SPACE,1
MPI_Reduce(),1
SET_CONSTANTS,1
MPI_Comm_size(),1
COMPUTE_BUFFER_SIZE,1
MAKE_SET,1
MPI_Comm_rank(),1
SET_CLASS,0.0625
