Name,#Call
.TAU,1
MPSP,1
ADI,401
SETUP_MPI,1
MPI_Init(),1
MPI_Waitall(),36492
MPI_Finalize(),1
Y_SOLVE,401
X_SOLVE,401
Z_SOLVE,401
COPY_FACES,402
COMPUTE_RHS,402
LHSX,6416
LHSZ,6416
LHSY,6416
MPI_Isend(),38502
INITIALIZE,2
MPI_Irecv(),38502
TZETAR,6416
TXINVR,401
EXACT_SOLUTION,73361.5
ADD,401
EXACT_RHS,1
PINVR,6416
NINVR,6416
MPI_Barrier(),2
VERIFY,1
MPI_Allreduce(),2
ERROR_NORM,1
MPI_Comm_dup(),2
RHS_NORM,1
MPI_Bcast(),4
LHSINIT,1
ALLOC_SPACE,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
MPI_Comm_rank(),1
SET_CLASS,0.00390625
