FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00506       19,138           1           1   19138731 .TAU application
100.0        0.278       19,138           1     223.062   19138726 MPBT 
 95.1        0.606       18,194         201        1005      90520 ADI 
 32.3            2        6,179         201        7638      30744 Z_SOLVE 
 31.8            2        6,086         201        7638      30282 Y_SOLVE 
 28.4        5,438        5,439         804         804       6765 Z_SOLVE_CELL 
 27.4        5,243        5,244         804         804       6523 Y_SOLVE_CELL 
 23.0            2        4,406         201        7638      21923 X_SOLVE 
 18.8        3,601        3,601         804         804       4480 X_SOLVE_CELL 
  7.5          103        1,432         202        2828       7092 COPY_FACES 
  5.8        1,111        1,111        7236           0        154 MPI_Wait() 
  5.6        1,067        1,067         202           0       5283 COMPUTE_RHS 
  2.4          455          455           1           0     455592 MPI_Finalize() 
  2.2          419          419         804           0        522 X_BACKSUBSTITUTE 
  2.0       0.0279          375           1           5     375710 SETUP_MPI 
  2.0          374          374           1           0     374935 MPI_Init() 
  1.6          313          313         804           0        391 Y_BACKSUBSTITUTE 
  1.5          278          278         804           0        347 Z_BACKSUBSTITUTE 
  1.2          224          224         202           0       1111 MPI_Waitall() 
  0.6          115          115         603           0        192 X_UNPACK_SOLVE_INFO 
  0.5           94           94         201           0        471 ADD 
  0.4           55           75           2      100001      37519 INITIALIZE 
  0.2           44           44        4830           0          9 MPI_Isend() 
  0.2           36           36         603           0         61 Y_UNPACK_SOLVE_INFO 
  0.2           30           30         603           0         50 Z_UNPACK_SOLVE_INFO 
  0.1           19           19      100001           0          0 EXACT_SOLUTION [THROTTLED]
  0.1           16           17         603         603         29 X_SEND_SOLVE_INFO 
  0.1           17           17           1           0      17225 EXACT_RHS 
  0.1           13           15         603         603         25 Y_SEND_SOLVE_INFO 
  0.1           13           14         603         603         24 Z_SEND_SOLVE_INFO 
  0.1       0.0189           10           1           3      10603 VERIFY 
  0.0            8            8        4830           0          2 MPI_Irecv() 
  0.0            2            6         603         603         11 Y_SEND_BACKSUB_INFO 
  0.0            1            6         603         603         11 Z_SEND_BACKSUB_INFO 
  0.0            5            5           1           0       5436 LHSINIT 
  0.0            2            4           1           1       4087 ERROR_NORM 
  0.0            3            3         603         603          6 X_SEND_BACKSUB_INFO 
  0.0            2            2         603           0          4 X_UNPACK_BACKSUB_INFO 
  0.0            2            2         603           0          4 Z_UNPACK_BACKSUB_INFO 
  0.0            2            2         603           0          4 Y_UNPACK_BACKSUB_INFO 
  0.0            2            2        2412           0          1 LHSABINIT 
  0.0            1            1           1           0       1810 ALLOC_SPACE 
  0.0            1            1           2           0        857 MPI_Barrier() 
  0.0            1            1           2           0        685 MPI_Allreduce() 
  0.0        0.264        0.828         603         603          1 X_RECEIVE_SOLVE_INFO 
  0.0        0.746        0.746           2           0        373 MPI_Comm_dup() 
  0.0        0.714        0.714           6           0        119 MPI_Bcast() 
  0.0        0.242         0.66         603         603          1 Z_RECEIVE_BACKSUB_INFO 
  0.0        0.245         0.62         603         603          1 Y_RECEIVE_BACKSUB_INFO 
  0.0        0.242        0.612         603         603          1 Z_RECEIVE_SOLVE_INFO 
  0.0         0.23        0.602         603         603          1 Y_RECEIVE_SOLVE_INFO 
  0.0        0.236        0.573         603         603          1 X_RECEIVE_BACKSUB_INFO 
  0.0         0.23        0.347           1           1        347 RHS_NORM 
  0.0       0.0118       0.0118           1           0         12 MPI_Reduce() 
  0.0      0.00144      0.00144           1           0          1 SET_CONSTANTS 
  0.0     0.000687     0.000687           1           0          1 COMPUTE_BUFFER_SIZE 
  0.0     0.000687     0.000687           1           0          1 MPI_Comm_size() 
  0.0     0.000625     0.000625           1           0          1 MAKE_SET 
  0.0     0.000313     0.000313           1           0          0 BTIO_CLEANUP 
  0.0     0.000313     0.000313           1           0          0 MPI_Comm_rank() 
  0.0      0.00025      0.00025           1           0          0 SETUP_BTIO 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
