Name,#Call
.TAU,1
MPBT,1
ADI,251
Y_SOLVE,251
Z_SOLVE,251
Z_SOLVE_CELL,4016
Y_SOLVE_CELL,4016
X_SOLVE,251
X_SOLVE_CELL,4016
MPI_Wait(),45180
COPY_FACES,252
COMPUTE_RHS,252
X_BACKSUBSTITUTE,4016
Y_BACKSUBSTITUTE,4016
Z_BACKSUBSTITUTE,4016
X_UNPACK_SOLVE_INFO,3765
SETUP_MPI,1
MPI_Init(),1
MPI_Waitall(),252
ADD,251
MPI_Finalize(),1
Y_UNPACK_SOLVE_INFO,3765
INITIALIZE,2
Z_UNPACK_SOLVE_INFO,3765
MPI_Isend(),24102
X_SEND_SOLVE_INFO,3765
Y_SEND_SOLVE_INFO,3765
Z_SEND_SOLVE_INFO,3765
VERIFY,1
EXACT_RHS,1
MPI_Allreduce(),2
Y_SEND_BACKSUB_INFO,3765
Z_SEND_BACKSUB_INFO,3765
MPI_Irecv(),24102
X_SEND_BACKSUB_INFO,3765
ERROR_NORM,1
RHS_NORM,1
LHSINIT,1
EXACT_SOLUTION,100001
X_RECEIVE_SOLVE_INFO,3765
X_UNPACK_BACKSUB_INFO,3765
Z_UNPACK_BACKSUB_INFO,3765
Y_UNPACK_BACKSUB_INFO,3765
LHSABINIT,12048
MPI_Barrier(),2
ALLOC_SPACE,1
MPI_Comm_dup(),2
Z_RECEIVE_BACKSUB_INFO,3765
Y_RECEIVE_BACKSUB_INFO,3765
Y_RECEIVE_SOLVE_INFO,3765
Z_RECEIVE_SOLVE_INFO,3765
X_RECEIVE_BACKSUB_INFO,3765
MPI_Bcast(),6
MPI_Reduce(),1
MAKE_SET,1
SET_CONSTANTS,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
SETUP_BTIO,1
BTIO_CLEANUP,1
MPI_Comm_rank(),1
SET_CLASS,0.00390625
