FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00555     1:43.200           1           1  103200078 .TAU application
100.0        0.351     1:43.200           1     273.004  103200072 MPBT 
 98.5            1     1:41.690         251        1255     405140 ADI 
 33.5           12       34,532         251       45682     137580 Y_SOLVE 
 33.3           12       34,334         251       45682     136792 Z_SOLVE 
 28.2       29,125       29,128        4016        4016       7253 Z_SOLVE_CELL 
 27.1       27,973       27,976        4016        4016       6966 Y_SOLVE_CELL 
 24.3           10       25,033         251       45682      99735 X_SOLVE 
 18.3       18,832       18,835        4016        4016       4690 X_SOLVE_CELL 
 10.0       10,324       10,324       45180           0        229 MPI_Wait() 
  7.0          832        7,189         252        3528      28530 COPY_FACES 
  5.5        5,638        5,638         252           0      22374 COMPUTE_RHS 
  2.4        2,496        2,496        4016           0        622 X_BACKSUBSTITUTE 
  1.8        1,887        1,887        4016           0        470 Y_BACKSUBSTITUTE 
  1.6        1,651        1,651        4016           0        411 Z_BACKSUBSTITUTE 
  0.7          756          756        3765           0        201 X_UNPACK_SOLVE_INFO 
  0.7       0.0285          674           1           5     674222 SETUP_MPI 
  0.6          669          669           1           0     669376 MPI_Init() 
  0.6          627          627         252           0       2489 MPI_Waitall() 
  0.6          626          626         251           0       2495 ADD 
  0.5          480          480           1           0     480678 MPI_Finalize() 
  0.2          210          210        3765           0         56 Y_UNPACK_SOLVE_INFO 
  0.2          166          184           2      100001      92353 INITIALIZE 
  0.2          168          168        3765           0         45 Z_UNPACK_SOLVE_INFO 
  0.2          155          155       24102           0          6 MPI_Isend() 
  0.1           90           95        3765        3765         25 X_SEND_SOLVE_INFO 
  0.1           75           82        3765        3765         22 Y_SEND_SOLVE_INFO 
  0.1           71           77        3765        3765         21 Z_SEND_SOLVE_INFO 
  0.1      0.00939           74           1           3      74639 VERIFY 
  0.1           61           61           1           0      61845 EXACT_RHS 
  0.0           34           34           2           0      17491 MPI_Allreduce() 
  0.0           12           34        3765        3765          9 Y_SEND_BACKSUB_INFO 
  0.0            9           31        3765        3765          8 Z_SEND_BACKSUB_INFO 
  0.0           31           31       24102           0          1 MPI_Irecv() 
  0.0           19           27        3765        3765          7 X_SEND_BACKSUB_INFO 
  0.0           10           23           1           1      23790 ERROR_NORM 
  0.0            1           23           1           1      23428 RHS_NORM 
  0.0           18           18           1           0      18023 LHSINIT 
  0.0           17           17      100001           0          0 EXACT_SOLUTION [THROTTLED]
  0.0            1           16        3765        3765          4 X_RECEIVE_SOLVE_INFO 
  0.0           15           15        3765           0          4 X_UNPACK_BACKSUB_INFO 
  0.0           14           14        3765           0          4 Z_UNPACK_BACKSUB_INFO 
  0.0           14           14        3765           0          4 Y_UNPACK_BACKSUB_INFO 
  0.0            9            9       12048           0          1 LHSABINIT 
  0.0            8            8           2           0       4298 MPI_Barrier() 
  0.0            6            6           1           0       6088 ALLOC_SPACE 
  0.0            4            4           2           0       2408 MPI_Comm_dup() 
  0.0            1            3        3765        3765          1 Z_RECEIVE_BACKSUB_INFO 
  0.0            1            3        3765        3765          1 Y_RECEIVE_BACKSUB_INFO 
  0.0            1            3        3765        3765          1 Y_RECEIVE_SOLVE_INFO 
  0.0            1            3        3765        3765          1 Z_RECEIVE_SOLVE_INFO 
  0.0            1            3        3765        3765          1 X_RECEIVE_BACKSUB_INFO 
  0.0        0.648        0.648           6           0        108 MPI_Bcast() 
  0.0       0.0146       0.0146           1           0         15 MPI_Reduce() 
  0.0      0.00196      0.00196           1           0          2 MAKE_SET 
  0.0      0.00193      0.00193           1           0          2 SET_CONSTANTS 
  0.0     0.000617     0.000617           1           0          1 COMPUTE_BUFFER_SIZE 
  0.0     0.000438     0.000438           1           0          0 MPI_Comm_size() 
  0.0     0.000297     0.000297           1           0          0 SETUP_BTIO 
  0.0     0.000258     0.000258           1           0          0 BTIO_CLEANUP 
  0.0     0.000238     0.000238           1           0          0 MPI_Comm_rank() 
  0.0            0            0  0.00390625           0          0 SET_CLASS 
