FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00525     4:39.745           1           1  279745996 .TAU application
100.0        0.588     4:39.745           1      223.25  279745991 MPBT 
 98.1            1     4:34.293         201        1005    1364644 ADI 
 33.6            2     1:33.912         201        2814     467226 Y_SOLVE 
 31.4     1:27.720     1:27.721         402         402     218213 Y_SOLVE_CELL 
 30.5            2     1:25.327         201        2814     424513 Z_SOLVE 
 28.1     1:18.640     1:18.641         402         402     195626 Z_SOLVE_CELL 
 24.2            1     1:07.685         201        2814     336742 X_SOLVE 
 21.6     1:00.373     1:00.375         402         402     150188 X_SOLVE_CELL 
  9.1          433       25,538         202        2828     126429 COPY_FACES 
  8.8       24,548       24,548         202           0     121529 COMPUTE_RHS 
  2.3        6,538        6,538         402           0      16264 X_BACKSUBSTITUTE 
  1.9        5,350        5,350         402           0      13310 Z_BACKSUBSTITUTE 
  1.9        5,221        5,221         402           0      12988 Y_BACKSUBSTITUTE 
  1.4        3,885        3,885           1           0    3885825 MPI_Finalize() 
  0.8        2,189        2,189        2412           0        908 MPI_Wait() 
  0.7        1,954        1,954         201           0       9723 ADD 
  0.2          639          657           2      100001     328857 INITIALIZE 
  0.2          551          551         202           0       2730 MPI_Waitall() 
  0.1       0.0288          417           1           5     417571 SETUP_MPI 
  0.1          417          417           1           0     417255 MPI_Init() 
  0.1          399          399         201           0       1987 X_UNPACK_SOLVE_INFO 
  0.1          240          240           1           0     240028 EXACT_RHS 
  0.1       0.0517          176           1           3     176994 VERIFY 
  0.0          134          136         201         201        677 X_SEND_SOLVE_INFO 
  0.0           67           68         201         201        340 Y_SEND_SOLVE_INFO 
  0.0           68           68         201           0        339 Y_UNPACK_SOLVE_INFO 
  0.0           66           67         201         201        338 Z_SEND_SOLVE_INFO 
  0.0           65           65           1           0      65655 LHSINIT 
  0.0           61           61         201           0        308 Z_UNPACK_SOLVE_INFO 
  0.0           45           46           1           1      46576 ERROR_NORM 
  0.0           25           26         201         201        133 X_SEND_BACKSUB_INFO 
  0.0           18           18      100001           0          0 EXACT_SOLUTION [THROTTLED]
  0.0           13           14         201         201         71 Y_SEND_BACKSUB_INFO 
  0.0           11           11        2418           0          5 MPI_Isend() 
  0.0            9           10         201         201         54 Z_SEND_BACKSUB_INFO 
  0.0            8            8         201           0         41 Z_UNPACK_BACKSUB_INFO 
  0.0            8            8         201           0         41 Y_UNPACK_BACKSUB_INFO 
  0.0            8            8         201           0         41 X_UNPACK_BACKSUB_INFO 
  0.0            5            5           1           0       5896 ALLOC_SPACE 
  0.0            5            5        1206           0          4 LHSABINIT 
  0.0            4            4           1           1       4910 RHS_NORM 
  0.0            2            2        2418           0          1 MPI_Irecv() 
  0.0            1            1           2           0        895 MPI_Barrier() 
  0.0            1            1           2           0        819 MPI_Allreduce() 
  0.0        0.486        0.486           6           0         81 MPI_Bcast() 
  0.0        0.152        0.439         201         201          2 Y_RECEIVE_BACKSUB_INFO 
  0.0        0.126        0.392         201         201          2 Z_RECEIVE_BACKSUB_INFO 
  0.0        0.114        0.376         201         201          2 X_RECEIVE_SOLVE_INFO 
  0.0        0.117        0.367         201         201          2 X_RECEIVE_BACKSUB_INFO 
  0.0        0.115        0.335         201         201          2 Z_RECEIVE_SOLVE_INFO 
  0.0        0.104        0.325         201         201          2 Y_RECEIVE_SOLVE_INFO 
  0.0        0.286        0.286           2           0        143 MPI_Comm_dup() 
  0.0       0.0107       0.0107           1           0         11 MPI_Reduce() 
  0.0      0.00175      0.00175           1           0          2 SET_CONSTANTS 
  0.0      0.00075      0.00075           1           0          1 COMPUTE_BUFFER_SIZE 
  0.0      0.00075      0.00075           1           0          1 MPI_Comm_size() 
  0.0       0.0005       0.0005           1           0          0 BTIO_CLEANUP 
  0.0       0.0005       0.0005           1           0          0 MAKE_SET 
  0.0      0.00025      0.00025        0.25           0          1 SET_CLASS 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 SETUP_BTIO 
