FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00863        1,089           1           1    1089426 .TAU application
100.0         0.27        1,089           1         120    1089417 CG 
 47.9          522          522           1           0     522178 MPI_Finalize() 
 36.0       0.0704          392           1           4     392346 INITIALIZE_MPI 
 35.9          391          391           1           0     391465 MPI_Init() 
 10.5           62          113          16        8736       7118 CONJ_GRAD 
  5.5            9           60           1       28001      60425 MAKEA 
  4.1           25           44       14000      100001          3 SPRNVC 
  2.9           31           31        2944           0         11 MPI_Wait() 
  1.7           18           18        2944           0          6 MPI_Send() 
  1.7           18           18      100001           0          0 ICNVRT [THROTTLED]
  0.3            3            3           1           0       3244 SPARSE 
  0.3            2            2       14000           0          0 VECSET 
  0.1            1            1        2944           0          0 MPI_Irecv() 
  0.1         0.81         0.81           1           0        810 MPI_Bcast() 
  0.0        0.161        0.161           1           0        161 MPI_Barrier() 
  0.0       0.0596       0.0596           1           0         60 ALLOC_SPACE 
  0.0       0.0471       0.0471           1           0         47 MPI_Reduce() 
  0.0     0.000562     0.000562           1           0          1 MPI_Comm_size() 
  0.0     0.000375     0.000375           1           0          0 SETUP_PROC_INFO 
  0.0     0.000375     0.000375           1           0          0 SETUP_SUBMATRIX_INFO 
  0.0     0.000188     0.000188           1           0          0 MPI_Comm_rank() 
