FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00781        5,138           1           1    5138936 .TAU application
100.0            3        5,138           1         540    5138929 CG 
 77.2        2,888        3,967          76       41496      52210 CONJ_GRAD 
 11.0          565          565           1           0     565579 MPI_Finalize() 
 10.7          548          548       13984           0         39 MPI_Send() 
  9.8          506          506       13984           0         36 MPI_Wait() 
  7.7       0.0736          396           1           4     396211 INITIALIZE_MPI 
  7.7          395          395           1           0     395514 MPI_Init() 
  4.0           44          203           1      150001     203362 MAKEA 
  2.2           96          112       75000      100001          2 SPRNVC 
  0.7           34           34           1           0      34645 SPARSE 
  0.5           25           25       13984           0          2 MPI_Irecv() 
  0.3           16           16      100001           0          0 ICNVRT [THROTTLED]
  0.2           11           11       75000           0          0 VECSET 
  0.0            2            2           1           0       2243 ALLOC_SPACE 
  0.0        0.622        0.622           1           0        622 MPI_Bcast() 
  0.0        0.205        0.205           1           0        205 MPI_Barrier() 
  0.0       0.0568       0.0568           1           0         57 MPI_Reduce() 
  0.0     0.000625     0.000625           1           0          1 SETUP_SUBMATRIX_INFO 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0     0.000188     0.000188           1           0          0 MPI_Comm_rank() 
  0.0     0.000188     0.000188           1           0          0 SETUP_PROC_INFO 
