FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00753     4:55.681           1           1  295681346 .TAU application
100.0           45     4:55.681           1        1018  295681339 CG 
 97.6     4:35.921     4:48.581         101       78780    2857247 CONJ_GRAD 
  3.0        8,806        8,806       26563           0        332 MPI_Send() 
  2.1        4,282        6,216           1      200003    6216793 MAKEA 
  1.2        3,641        3,641       26563           0        137 MPI_Wait() 
  0.6        1,678        1,678           1           0    1678280 SPARSE 
  0.1          432          432           1           0     432961 MPI_Finalize() 
  0.1       0.0586          393           1           4     393977 INITIALIZE_MPI 
  0.1          393          393           1           0     393251 MPI_Init() 
  0.1          223          239      100001      100001          2 SPRNVC [THROTTLED]
  0.1          214          214       26563           0          8 MPI_Irecv() 
  0.0           16           16      100001           0          0 ICNVRT [THROTTLED]
  0.0           16           16      100001           0          0 VECSET [THROTTLED]
  0.0            7            7           1           0       7465 ALLOC_SPACE 
  0.0        0.667        0.667           1           0        667 MPI_Bcast() 
  0.0        0.195        0.195           1           0        195 MPI_Barrier() 
  0.0       0.0584       0.0584           1           0         58 MPI_Reduce() 
  0.0     0.000844     0.000844           1           0          1 SETUP_SUBMATRIX_INFO 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 SETUP_PROC_INFO 
  0.0     0.000188     0.000188           1           0          0 MPI_Comm_rank() 
