FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00569        5,711           1           1    5711265 .TAU application
100.0        0.146        5,711           1          72    5711259 FT 
 72.7       0.0833        4,153          22          88     188792 FFT 
 36.9        1,227        2,108       28160      100001         75 CFFTZ 
 32.7          400        1,869          44       16940      42485 CFFTS1 
 17.4       0.0496          995          20          60      49783 TRANSPOSE_X_YZ 
 16.0          273          912          22       11286      41496 CFFTS2 
 15.4          880          880      100001           0          9 FFTZ2 [THROTTLED]
 10.3          586          586          22           0      26644 TRANSPOSE2_LOCAL 
  9.7       0.0539          553          22          22      25162 TRANSPOSE2_GLOBAL 
  9.7          553          553          22           0      25159 MPI_Alltoall() 
  9.6        0.103          545           1     11.0625     545441 SETUP 
  9.5          542          542           1           0     542520 MPI_Finalize() 
  9.5          541          541           1           0     541840 MPI_Init() 
  6.6       0.0213          375           2           6     187705 TRANSPOSE_XY_Z 
  4.6          262          262          20           0      13100 EVOLVE 
  4.0          231          231          22           0      10512 TRANSPOSE2_FINISH 
  3.1          174          174           2           0      87347 COMPUTE_INDEXMAP 
  0.3           18           18           2           4       9420 COMPUTE_INITIAL_CONDITIONS 
  0.2        0.194           12          20          20        611 CHECKSUM 
  0.2           12           12          20           0        601 MPI_Reduce() 
  0.0            1            1           1           0       1834 MPI_Barrier() 
  0.0            1            1           1           0       1675 ALLOC_SPACE 
  0.0        0.957        0.957           2           0        478 MPI_Comm_split() 
  0.0        0.864        0.864           5           0        173 MPI_Bcast() 
  0.0        0.134        0.134           2           2         67 FFT_INIT 
  0.0       0.0191       0.0191          68           0          0 ILOG2 
  0.0      0.00169      0.00169           4           0          0 IPOW46 
  0.0      0.00131      0.00131           1           0          1 VERIFY 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0     0.000313     0.000313           1           0          0 MPI_Comm_rank() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
