FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.006       16,380           1           1   16380368 .TAU application
100.0        0.329       16,380           1          30   16380362 FT 
 58.5        9,583        9,583           1           0    9583667 MPI_Finalize() 
 24.6        0.033        4,029           8          24     503683 FFT 
 16.2        2,085        2,661       65536      100001         41 CFFTZ 
 11.5        1,880        1,880           2           0     940480 COMPUTE_INDEXMAP 
  9.0          632        1,466           8       32776     183317 CFFTS3 
  8.1          408        1,333           8       16392     166637 CFFTS2 
  7.5          327        1,229           8       16392     153724 CFFTS1 
  3.5          575          575      100001           0          6 FFTZ2 [THROTTLED]
  3.4        0.672          549           1          12     549472 SETUP 
  3.3          547          547           1           0     547384 MPI_Init() 
  1.6          259          259           6           0      43307 EVOLVE 
  0.5           76           76           2           4      38082 COMPUTE_INITIAL_CONDITIONS 
  0.0            1            1           1           0       1322 ALLOC_SPACE 
  0.0         0.33        0.369           6           6         62 CHECKSUM 
  0.0        0.089        0.089           2           0         44 MPI_Comm_split() 
  0.0        0.073        0.074           2           2         37 FFT_INIT 
  0.0        0.039        0.039           6           0          6 MPI_Reduce() 
  0.0        0.018        0.018           1           0         18 VERIFY 
  0.0        0.008        0.008          26           0          0 ILOG2 
  0.0        0.005        0.005           5           0          1 MPI_Bcast() 
  0.0        0.004        0.004           1           0          4 MPI_Barrier() 
  0.0        0.001        0.001           4           0          0 IPOW46 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 MPI_Comm_size() 
  0.0            0            0           1           0          0 SET_CLASS 
