FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00527        3,401           1           1    3401344 .TAU application
100.0        0.102        3,401           1          72    3401338 FT 
 56.3        0.064        1,915          22          88      87067 FFT 
 29.4       0.0621          999           1     11.0039     999701 SETUP 
 29.0          986          986           1           0     986771 MPI_Init() 
 27.9       0.0469          948          20          60      47440 TRANSPOSE_X_YZ 
 26.5       0.0455          902          22          22      41013 TRANSPOSE2_GLOBAL 
 26.5          902          902          22           0      41011 MPI_Alltoall() 
 19.0           43          645        4224       38016        153 CFFTZ 
 17.7          601          601       38016           0         16 FFTZ2 
 15.8          107          536          44        2860      12186 CFFTS1 
 10.5          358          358           1           0     358451 MPI_Finalize() 
  8.3           66          283          22        1430      12888 CFFTS2 
  4.3       0.0182          146           2           6      73432 TRANSPOSE_XY_Z 
  3.7          124          124          22           0       5677 TRANSPOSE2_LOCAL 
  2.0           68           68          22           0       3110 TRANSPOSE2_FINISH 
  1.8           60           60          20           0       3039 EVOLVE 
  1.3           42           42           2           0      21470 COMPUTE_INDEXMAP 
  0.3           10           10           2           0       5237 MPI_Comm_split() 
  0.3            9            9           1           0       9864 MPI_Barrier() 
  0.3       0.0878            9          20          20        457 CHECKSUM 
  0.3            9            9          20           0        452 MPI_Reduce() 
  0.1            4            4           2           4       2383 COMPUTE_INITIAL_CONDITIONS 
  0.0            1            1           1           0       1603 ALLOC_SPACE 
  0.0         0.79         0.79           5           0        158 MPI_Bcast() 
  0.0        0.132        0.132           2           2         66 FFT_INIT 
  0.0       0.0161       0.0161          68           0          0 ILOG2 
  0.0      0.00157      0.00157           4           0          0 IPOW46 
  0.0     0.000441     0.000441           1           0          0 MPI_Comm_size() 
  0.0     0.000258     0.000258           1           0          0 MPI_Comm_rank() 
  0.0     0.000254     0.000254           1           0          0 VERIFY 
  0.0     3.91E-06     3.91E-06  0.00390625           0          1 SET_CLASS 
