FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00556       41,434           1           1   41434086 .TAU application
100.0        0.138       41,434           1          87   41434080 FT 
 90.8         0.11       37,639          27         108    1394054 FFT 
 43.6          399       18,058       34560      352512        523 CFFTZ 
 42.6       17,659       17,659      352512           0         50 FFTZ2 
 35.6        2,774       14,755          54       20790     273256 CFFTS1 
 26.7       0.0629       11,047          25          75     441880 TRANSPOSE_X_YZ 
 23.1        3,484        9,562          27       13851     354165 CFFTS2 
 22.4       0.0699        9,260          27          27     342993 TRANSPOSE2_GLOBAL 
 22.4        9,260        9,260          27           0     342990 MPI_Alltoall() 
  6.6        2,730        2,730          27           0     101130 TRANSPOSE2_LOCAL 
  5.5       0.0234        2,274           2           6    1137034 TRANSPOSE_XY_Z 
  3.3        1,367        1,367          25           0      54706 EVOLVE 
  3.2        1,329        1,329          27           0      49247 TRANSPOSE2_FINISH 
  1.9       0.0667          774           1     11.0039     774211 SETUP 
  1.9          768          768           1           0     768191 MPI_Init() 
  1.6          645          645           2           0     322674 COMPUTE_INDEXMAP 
  1.4          599          599           1           0     599689 MPI_Finalize() 
  0.5        0.129          197          25          25       7915 CHECKSUM 
  0.5          197          197          25           0       7910 MPI_Reduce() 
  0.3          132          132           1           0     132628 MPI_Barrier() 
  0.2           76           76           2           4      38351 COMPUTE_INITIAL_CONDITIONS 
  0.0            2            2           2           0       1402 MPI_Comm_split() 
  0.0            1            1           1           0       1623 ALLOC_SPACE 
  0.0            1            1           5           0        305 MPI_Bcast() 
  0.0          0.4        0.401           2           2        200 FFT_INIT 
  0.0       0.0204       0.0204          83           0          0 ILOG2 
  0.0      0.00168      0.00168           4           0          0 IPOW46 
  0.0     0.000625     0.000625           1           0          1 MPI_Comm_size() 
  0.0     0.000281     0.000281           1           0          0 VERIFY 
  0.0     0.000164     0.000164           1           0          0 MPI_Comm_rank() 
  0.0     3.91E-06     3.91E-06  0.00390625           0          1 SET_CLASS 
