FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00519       40,874           1           1   40874498 .TAU application
100.0       0.0919       40,874           1     17.0625   40874493 APPLU 
 97.0       23,960       39,658           2      557278   19829184 SSOR 
 28.5       10,276       11,648         253         506      46043 RHS 
  5.8          191        2,381      150600      195047         16 EXCHANGE_1 
  5.0        2,055        2,055      100400           0         20 MPI_Recv() 
  3.4          400        1,403         508        2124       2763 EXCHANGE_3 
  1.7          700          700      764.25           0        917 MPI_Wait() 
  1.2          476          476           1           0     476596 MPI_Finalize() 
  1.0       0.0448          406           1           3     406269 INIT_COMM 
  1.0          406          406           1           0     406224 MPI_Init() 
  1.0          406          406      100001           0          4 JACLD [THROTTLED]
  1.0          400          400      100001           0          4 JACU [THROTTLED]
  1.0          388          388      100001           0          4 BLTS [THROTTLED]
  0.9          379          379      100001           0          4 BUTS [THROTTLED]
  0.6          242          242     75000.8           0          3 MPI_Send() [THROTTLED]
  0.5          197          217           2     90159.5     108867 SETIV 
  0.3          131          131     20207.5           0          6 MPI_Send() 
  0.3          111          111     12500.1           0          9 MPI_Recv() [THROTTLED]
  0.2           58           89           1           2      89804 ERHS 
  0.2            9           64        6413     12460.6         10 EXCHANGE_1 [THROTTLED]
  0.1           24           24      100001           0          0 EXACT [THROTTLED]
  0.1           24           24          10           0       2425 MPI_Allreduce() 
  0.1            4           21           4           4       5412 L2NORM 
  0.0           14           15           1           1      15006 ERROR 
  0.0            2            7           2      9841.5       3737 SETBV 
  0.0            6            6      764.25           0          8 MPI_Irecv() 
  0.0            1            1           1           0       1869 ALLOC_SPACE 
  0.0       0.0496        0.989           1      1.0625        989 READ_INPUT 
  0.0       0.0101        0.939           1          10        939 BCAST_INPUTS 
  0.0        0.929        0.929          10           0         93 MPI_Bcast() 
  0.0        0.162        0.275           1           5        275 PINTGR 
  0.0       0.0323       0.0323           2           0         16 MPI_Barrier() 
  0.0      0.00375       0.0174           1        3.25         17 EXCHANGE_4 
  0.0       0.0149       0.0149      0.0625           0        239 VERIFY 
  0.0      0.00231      0.00269           1           1          3 PROC_GRID 
  0.0     0.000812      0.00263         0.5       0.875          5 EXCHANGE_6 
  0.0     0.000937       0.0025         0.5       0.875          5 EXCHANGE_5 
  0.0     0.000687     0.000687           1           0          1 MPI_Comm_size() 
  0.0     0.000625     0.000625           1           0          1 SETCOEFF 
  0.0       0.0005       0.0005           1           0          0 NEIGHBORS 
  0.0     0.000375     0.000375           1           0          0 ISQRT2 
  0.0     0.000188     0.000188           1           0          0 SUBDOMAIN 
  0.0     6.25E-05     6.25E-05           1           0          0 MPI_Comm_rank() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
