Name,#Call
.TAU,1
APPLU,1
SSOR,2
RHS,253
EXCHANGE_1,150600
MPI_Recv(),100400
EXCHANGE_3,508
MPI_Wait(),764.25
MPI_Finalize(),1
INIT_COMM,1
MPI_Init(),1
JACLD,100001
JACU,100001
BLTS,100001
BUTS,100001
MPI_Send(),75000.8
SETIV,2
MPI_Send(),20207.5
MPI_Recv(),12500.1
ERHS,1
EXCHANGE_1,6413
EXACT,100001
MPI_Allreduce(),10
L2NORM,4
ERROR,1
SETBV,2
MPI_Irecv(),764.25
ALLOC_SPACE,1
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
PINTGR,1
MPI_Barrier(),2
EXCHANGE_4,1
VERIFY,0.0625
PROC_GRID,1
EXCHANGE_6,0.5
EXCHANGE_5,0.5
MPI_Comm_size(),1
SETCOEFF,1
NEIGHBORS,1
ISQRT2,1
SUBDOMAIN,1
MPI_Comm_rank(),1
SET_CLASS,0.0625
