FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00535       56,375           1           1   56375052 .TAU application
100.0        0.068       56,375           1     17.0039   56375047 APPLU 
 97.6       30,940       55,009           2      889139   27504970 SSOR 
 25.0       12,203       14,067         303         606      46427 RHS 
 15.6          588        8,808      488824      558018         18 EXCHANGE_1 
 14.5        8,156        8,156      458272           0         18 MPI_Recv() 
  3.4        1,242        1,918         608     2535.03       3156 EXCHANGE_3 
  1.0       0.0431          538           1           3     538062 INIT_COMM 
  1.0          538          538           1           0     538018 MPI_Init() 
  0.9          512          512     1142.11           0        449 MPI_Wait() 
  0.8          475          475           1           0     475331 MPI_Finalize() 
  0.5          269          269      100001           0          3 JACLD [THROTTLED]
  0.5          268          268      100001           0          3 JACU [THROTTLED]
  0.4          251          251      100001           0          3 BLTS [THROTTLED]
  0.4          246          246      100001           0          2 BUTS [THROTTLED]
  0.4          220          220      100001           0          2 MPI_Send() [THROTTLED]
  0.4          199          218           2     96099.5     109184 SETIV 
  0.3          156          156          10           0      15696 MPI_Allreduce() 
  0.2           54          109           1           2     109180 ERHS 
  0.2            5          106           4           4      26557 L2NORM 
  0.0           20           20      100001           0          0 EXACT [THROTTLED]
  0.0           14           18           1           1      18343 ERROR 
  0.0            6            6     1142.11           0          6 MPI_Irecv() 
  0.0        0.896            2           2      3901.5       1258 SETBV 
  0.0            1            1           1           0       1645 ALLOC_SPACE 
  0.0      0.00387        0.907           1     1.00391        907 READ_INPUT 
  0.0      0.00922        0.903           1          10        903 BCAST_INPUTS 
  0.0        0.894        0.894          10           0         89 MPI_Bcast() 
  0.0        0.203        0.684           1        4.25        684 PINTGR 
  0.0       0.0665       0.0665           2           0         33 MPI_Barrier() 
  0.0      0.00476       0.0661           1        3.75         66 EXCHANGE_4 
  0.0     0.000434      0.00564       0.125    0.234375         45 EXCHANGE_6 
  0.0     0.000434       0.0042       0.125    0.234375         34 EXCHANGE_5 
  0.0      0.00234      0.00257           1           1          3 PROC_GRID 
  0.0     0.000785     0.000785  0.00390625           0        201 VERIFY 
  0.0     0.000734     0.000734           1           0          1 SETCOEFF 
  0.0      0.00048      0.00048           1           0          0 MPI_Comm_size() 
  0.0     0.000355     0.000355           1           0          0 NEIGHBORS 
  0.0     0.000332     0.000332           1           0          0 SUBDOMAIN 
  0.0     0.000324     0.000324           1           0          0 MPI_Comm_rank() 
  0.0     0.000234     0.000234           1           0          0 ISQRT2 
  0.0     3.91E-06     3.91E-06  0.00390625           0          1 SET_CLASS 
