Name,#Call
.TAU,1
APPLU,1
SSOR,2
MPI_Finalize(),1
EXCHANGE_1,62248
INIT_COMM,1
MPI_Init(),1
MPI_Recv(),54467
RHS,253
JACLD,100001
JACU,100001
BLTS,100001
BUTS,100001
EXCHANGE_3,508
MPI_Send(),55358.2
MPI_Wait(),891.188
SETIV,2
EXACT,49178.4
ERHS,1
MPI_Allreduce(),10
L2NORM,4
MPI_Irecv(),891.188
ERROR,1
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
SETBV,2
PINTGR,1
ALLOC_SPACE,1
MPI_Barrier(),2
EXCHANGE_4,1
VERIFY,0.015625
EXCHANGE_6,0.25
PROC_GRID,1
EXCHANGE_5,0.25
SETCOEFF,1
MPI_Comm_size(),1
NEIGHBORS,1
SUBDOMAIN,1
MPI_Comm_rank(),1
ISQRT2,1
SET_CLASS,0.015625
