FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00575        5,798           1           1    5798019 .TAU application
100.0       0.0867        5,798           1      17.125    5798013 APPLU 
 81.2        2,468        4,706           2      462513    2353231 SSOR 
 18.7          862        1,083         253         506       4281 RHS 
 12.0          693          693           1           0     693670 MPI_Finalize() 
  8.3           36          480       62248       77810          8 EXCHANGE_1 
  7.2          417          417       38905           0         11 MPI_Recv() 
  5.4        0.046          310           1           3     310842 INIT_COMM 
  5.4          310          310           1           0     310796 MPI_Init() 
  4.2           50          245         508        1905        483 EXCHANGE_3 
  3.0          176          176      100001           0          2 JACLD [THROTTLED]
  3.0          174          174      100001           0          2 JACU [THROTTLED]
  2.7          159          159      100001           0          2 BLTS [THROTTLED]
  2.7          158          158      100001           0          2 BUTS [THROTTLED]
  1.9          111          111      637.25           0        176 MPI_Wait() 
  1.8          106          106     39542.2           0          3 MPI_Send() 
  0.8           31           49           2       96929      24500 SETIV 
  0.6            7           31           1           2      31927 ERHS 
  0.3           18           18      100001           0          0 EXACT [THROTTLED]
  0.1            4            4          10           0        469 MPI_Allreduce() 
  0.1        0.311            3           4           4        885 L2NORM 
  0.0            2            2      637.25           0          5 MPI_Irecv() 
  0.0        0.279            2           1       1.125       2354 READ_INPUT 
  0.0        0.011            2           1          10       2076 BCAST_INPUTS 
  0.0            2            2          10           0        206 MPI_Bcast() 
  0.0        0.633            1           2        3072        878 SETBV 
  0.0            1            1           1           1       1746 ERROR 
  0.0        0.046       0.0894           1         5.5         89 PINTGR 
  0.0       0.0473       0.0473           1           0         47 ALLOC_SPACE 
  0.0       0.0275       0.0275       0.125           0        220 VERIFY 
  0.0       0.0205       0.0205           2           0         10 MPI_Barrier() 
  0.0       0.0025      0.00937           1        3.75          9 EXCHANGE_4 
  0.0        0.001       0.0035           1        2.25          4 EXCHANGE_5 
  0.0      0.00263      0.00275           1           1          3 PROC_GRID 
  0.0       0.0005      0.00187         0.5        0.75          4 EXCHANGE_6 
  0.0      0.00075      0.00075           1           0          1 SETCOEFF 
  0.0     0.000625     0.000625           1           0          1 MPI_Comm_size() 
  0.0       0.0005       0.0005           1           0          0 SUBDOMAIN 
  0.0      0.00025      0.00025           1           0          0 NEIGHBORS 
  0.0     0.000125     0.000125           1           0          0 ISQRT2 
  0.0     0.000125     0.000125           1           0          0 MPI_Comm_rank() 
  0.0            0            0       0.125           0          0 SET_CLASS 
