FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.006       21,021           1           1   21021951 .TAU application
100.0       0.0929       21,021           1      17.125   21021945 APPLU 
 94.3       11,665       19,814           2      500765    9907136 SSOR 
 27.3        4,906        5,730         253         506      22650 RHS 
  5.5        1,153        1,153       62750           0         18 MPI_Recv() 
  4.1          194          855         508        1905       1684 EXCHANGE_3 
  3.9           37          827       50200       50200         16 EXCHANGE_1 
  3.0          622          622           1           0     622047 MPI_Finalize() 
  2.4          504          504      637.25           0        791 MPI_Wait() 
  2.2           51          469     50000.5     75000.8          9 EXCHANGE_1 [THROTTLED]
  1.8        0.042          376           1           3     376227 INIT_COMM 
  1.8          376          376           1           0     376184 MPI_Init() 
  1.4          292          292      100001           0          3 JACLD [THROTTLED]
  1.4          290          290      100001           0          3 JACU [THROTTLED]
  1.2          257          257      100001           0          3 BLTS [THROTTLED]
  1.2          252          252      100001           0          3 BUTS [THROTTLED]
  1.0          207          207     63387.2           0          3 MPI_Send() 
  0.6          114          133           2       92198      66930 SETIV 
  0.3           28           60           1           2      60347 ERHS 
  0.1           26           26          10           0       2641 MPI_Allreduce() 
  0.1           22           22      100001           0          0 EXACT [THROTTLED]
  0.1            1           19           4           4       4960 L2NORM 
  0.0            7            7           1           1       7320 ERROR 
  0.0            4            4      637.25           0          8 MPI_Irecv() 
  0.0            1            4           2        7803       2474 SETBV 
  0.0            1            1           1           0       1783 ALLOC_SPACE 
  0.0       0.0896        0.836           1       1.125        836 READ_INPUT 
  0.0       0.0101        0.746           1          10        746 BCAST_INPUTS 
  0.0        0.736        0.736          10           0         74 MPI_Bcast() 
  0.0        0.114        0.185           1         5.5        185 PINTGR 
  0.0       0.0244       0.0244       0.125           0        195 VERIFY 
  0.0       0.0221       0.0221           2           0         11 MPI_Barrier() 
  0.0      0.00287       0.0151           1        3.75         15 EXCHANGE_4 
  0.0      0.00175      0.00462           1        2.25          5 EXCHANGE_5 
  0.0     0.000375       0.0035         0.5        0.75          7 EXCHANGE_6 
  0.0      0.00263        0.003           1           1          3 PROC_GRID 
  0.0        0.001        0.001           1           0          1 SETCOEFF 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_rank() 
  0.0       0.0005       0.0005           1           0          0 SUBDOMAIN 
  0.0     0.000375     0.000375           1           0          0 ISQRT2 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 NEIGHBORS 
  0.0            0            0       0.125           0          0 SET_CLASS 
