Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.047    11:02.811           8           8   82851394 .TAU application
100.0        0.806    11:02.811           8         137   82851388 APPLU 
 97.7     6:39.204    10:47.493          16 4.48724E+06   40468342 SSOR 
 29.9     2:58.768     3:18.105        2024        4048      97878 RHS 
  5.6        1,770       37,112 1.28512E+06 1.52196E+06         29 EXCHANGE_1 
  5.2       34,528       34,528      803200           0         43 MPI_Recv() 
  3.0        5,778       19,614        4064       14712       4826 EXCHANGE_3 
  1.6       10,898       10,898        5098           0       2138 MPI_Wait() 
  0.9        6,023        6,023           8           0     752985 MPI_Finalize() 
  0.7        0.312        4,532           8          24     566501 INIT_COMM 
  0.7        4,531        4,531           8           0     566461 MPI_Init() 
  0.5        3,253        3,253      800008           0          4 JACLD [THROTTLED]
  0.5        3,240        3,240      800008           0          4 JACU [THROTTLED]
  0.5        3,118        3,118      800008           0          4 BLTS [THROTTLED]
  0.5        2,962        3,097          16      642544     193608 SETIV 
  0.5        3,040        3,040      800008           0          4 BUTS [THROTTLED]
  0.4        2,459        2,459      323320           0          8 MPI_Send() 
  0.2        1,001        1,278           8          16     159835 ERHS 
  0.2        1,173        1,173      400004           0          3 MPI_Send() [THROTTLED]
  0.1          339          339          80           0       4246 MPI_Allreduce() 
  0.0           85          329          32          32      10312 L2NORM 
  0.0          229          235           8           8      29401 ERROR 
  0.0          221          221      800008           0          0 EXACT [THROTTLED]
  0.0           37          123          16      157464       7744 SETBV 
  0.0          118          118        5098           0         23 MPI_Irecv() 
  0.0           14           14           8           0       1856 ALLOC_SPACE 
  0.0        0.618            6           8           9        780 READ_INPUT 
  0.0        0.086            5           8          80        703 BCAST_INPUTS 
  0.0            5            5          80           0         69 MPI_Bcast() 
  0.0            2            4           8          44        512 PINTGR 
  0.0        0.241        0.241          16           0         15 MPI_Barrier() 
  0.0        0.189        0.189           1           0        189 VERIFY 
  0.0        0.029        0.129           8          24         16 EXCHANGE_4 
  0.0        0.006        0.071           4           6         18 EXCHANGE_6 
  0.0        0.012        0.047           8          14          6 EXCHANGE_5 
  0.0        0.021        0.025           8           8          3 PROC_GRID 
  0.0        0.009        0.009           8           0          1 SETCOEFF 
  0.0        0.004        0.004           8           0          0 ISQRT2 
  0.0        0.004        0.004           8           0          0 MPI_Comm_size() 
  0.0        0.003        0.003           8           0          0 NEIGHBORS 
  0.0        0.002        0.002           8           0          0 MPI_Comm_rank() 
  0.0        0.002        0.002           8           0          0 SUBDOMAIN 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00588     1:22.851           1           1   82851394 .TAU application
100.0        0.101     1:22.851           1      17.125   82851388 APPLU 
 97.7       49,900     1:20.936           2      560905   40468342 SSOR 
 29.9       22,346       24,763         253         506      97878 RHS 
  5.6          221        4,639      160640      190246         29 EXCHANGE_1 
  5.2        4,316        4,316      100400           0         43 MPI_Recv() 
  3.0          722        2,451         508        1839       4826 EXCHANGE_3 
  1.6        1,362        1,362      637.25           0       2138 MPI_Wait() 
  0.9          752          752           1           0     752985 MPI_Finalize() 
  0.7        0.039          566           1           3     566501 INIT_COMM 
  0.7          566          566           1           0     566461 MPI_Init() 
  0.5          406          406      100001           0          4 JACLD [THROTTLED]
  0.5          405          405      100001           0          4 JACU [THROTTLED]
  0.5          389          389      100001           0          4 BLTS [THROTTLED]
  0.5          370          387           2       80318     193608 SETIV 
  0.5          380          380      100001           0          4 BUTS [THROTTLED]
  0.4          307          307       40415           0          8 MPI_Send() 
  0.2          125          159           1           2     159835 ERHS 
  0.2          146          146     50000.5           0          3 MPI_Send() [THROTTLED]
  0.1           42           42          10           0       4246 MPI_Allreduce() 
  0.0           10           41           4           4      10312 L2NORM 
  0.0           28           29           1           1      29401 ERROR 
  0.0           27           27      100001           0          0 EXACT [THROTTLED]
  0.0            4           15           2       19683       7744 SETBV 
  0.0           14           14      637.25           0         23 MPI_Irecv() 
  0.0            1            1           1           0       1856 ALLOC_SPACE 
  0.0       0.0772         0.78           1       1.125        780 READ_INPUT 
  0.0       0.0107        0.703           1          10        703 BCAST_INPUTS 
  0.0        0.692        0.692          10           0         69 MPI_Bcast() 
  0.0        0.348        0.512           1         5.5        512 PINTGR 
  0.0       0.0301       0.0301           2           0         15 MPI_Barrier() 
  0.0       0.0236       0.0236       0.125           0        189 VERIFY 
  0.0      0.00363       0.0161           1           3         16 EXCHANGE_4 
  0.0      0.00075      0.00887         0.5        0.75         18 EXCHANGE_6 
  0.0       0.0015      0.00588           1        1.75          6 EXCHANGE_5 
  0.0      0.00263      0.00313           1           1          3 PROC_GRID 
  0.0      0.00112      0.00112           1           0          1 SETCOEFF 
  0.0       0.0005       0.0005           1           0          0 ISQRT2 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0     0.000375     0.000375           1           0          0 NEIGHBORS 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
  0.0      0.00025      0.00025           1           0          0 SUBDOMAIN 
  0.0     0.000125     0.000125       0.125           0          1 SET_CLASS 
