FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00745        2,828           1           1    2828577 .TAU application
100.0        0.145        2,828           1          69    2828569 MG_MPI 
 57.3        1,620        1,620           1           0    1620919 MPI_Finalize() 
 19.6          555          555           1           0     555360 MPI_Init() 
 16.3        0.337          460          21         861      21908 MG3P 
 11.3          169          319         191         191       1671 RESID 
 10.1            1          285         550     8695.12        519 COMM3 
  5.4           74          153         189         189        813 PSINV 
  5.3           15          148     2874.75     2874.75         52 GIVE3 
  4.7          133          133     2948.25           0         45 MPI_Send() 
  3.3           12           92     2874.75     2874.75         32 TAKE3 
  3.1           88           88     2948.25           0         30 MPI_Wait() 
  3.1           35           88         168         168        528 RPRJ3 
  1.5           42           43     2948.25     2948.25         15 READY 
  1.5           32           41         168         168        249 INTERP 
  0.8            8           23           2     592.875      11855 ZRAN3 
  0.5           13           13     242.875           0         57 ZERO3 
  0.4            5           12           4           8       3148 NORM2U3 
  0.3       0.0799            9         168       220.5         58 COMM3_EX 
  0.3       0.0301            8        73.5        73.5        119 TAKE3_EX 
  0.3            7            7          88           0         91 MPI_Allreduce() 
  0.3            7            7           6           0       1208 MPI_Barrier() 
  0.1            1            1     2948.25           0          1 MPI_Irecv() 
  0.0            1            1           1           0       1142 ALLOC_SPACE 
  0.0        0.614        0.614           7           0         88 MPI_Bcast() 
  0.0       0.0894       0.0894     498.875           0          0 BUBBLE 
  0.0       0.0315       0.0775        73.5        73.5          1 GIVE3_EX 
  0.0       0.0127       0.0127           1           0         13 MPI_Reduce() 
  0.0      0.00516      0.00516           2           0          3 SETUP 
  0.0      0.00298      0.00298           6           0          0 POWER 
  0.0     0.000398     0.000398           1           0          0 MPI_Comm_size() 
  0.0     0.000297     0.000297           1           0          0 MPI_Comm_rank() 
