FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00838        1,193           1           1    1193446 .TAU application
100.0        0.177        1,193           1          37    1193437 MG_MPI 
 48.1          574          574           1           0     574458 MPI_Finalize() 
 33.8          403          403           1           0     403623 MPI_Init() 
 10.4       0.0974          124           5         180      24823 MG3P 
  8.6           54          103          42          42       2455 RESID 
  7.1        0.371           84         119        2057        712 COMM3 
  4.3            5           51         684         684         76 GIVE3 
  3.9           46           46         689           0         68 MPI_Send() 
  3.6           20           42          40          40       1069 PSINV 
  1.8            8           21           2       593.5      10848 ZRAN3 
  1.7            9           20          35          35        586 RPRJ3 
  1.7            3           20         684         684         30 TAKE3 
  1.4           17           17         689           0         25 MPI_Wait() 
  1.0           11           12         689         689         18 READY 
  0.9           11           11          44           0        253 ZERO3 
  0.8            8            9          35          35        273 INTERP 
  0.7            6            8           4           8       2156 NORM2U3 
  0.4            5            5           6           0        867 MPI_Barrier() 
  0.3            3            3          88           0         34 MPI_Allreduce() 
  0.1            1            1           1           0       1182 ALLOC_SPACE 
  0.1       0.0151        0.806          35          15         23 COMM3_EX 
  0.1      0.00244        0.718           5           5        144 TAKE3_EX 
  0.0        0.577        0.577           7           0         82 MPI_Bcast() 
  0.0        0.544        0.544         689           0          1 MPI_Irecv() 
  0.0       0.0929       0.0929       499.5           0          0 BUBBLE 
  0.0       0.0133       0.0133           1           0         13 MPI_Reduce() 
  0.0      0.00206        0.006           5           5          1 GIVE3_EX 
  0.0      0.00506      0.00506           2           0          3 SETUP 
  0.0      0.00287      0.00287           6           0          0 POWER 
  0.0     0.000625     0.000625           1           0          1 MPI_Comm_size() 
  0.0     0.000125     0.000125           1           0          0 MPI_Comm_rank() 
