FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00794       34,323           1           1   34323957 .TAU application
100.0        0.306       34,323           1         129   34323949 MG_MPI 
 72.6            2       24,904          51        2346     488318 MG3P 
 49.4       14,391       16,943         512         512      33093 RESID 
 24.8        6,685        8,510         510         510      16686 PSINV 
 16.3            4        5,579        1483     25393.5       3763 COMM3 
 11.8        2,863        4,041         459         459       8805 RPRJ3 
  8.3        2,744        2,840         459         459       6188 INTERP 
  8.2        2,810        2,821        8541        8541        330 READY 
  5.3          481        1,829        8439        8439        217 GIVE3 
  3.9        1,347        1,347        8541           0        158 MPI_Send() 
  2.8          379          945        8439        8439        112 TAKE3 
  1.9          640          640        8541           0         75 MPI_Wait() 
  1.7          567          567       539.5           0       1053 ZERO3 
  1.4          260          465           2     736.062     232831 ZRAN3 
  1.3          451          451           1           0     451211 MPI_Finalize() 
  1.3          440          440           1           0     440425 MPI_Init() 
  0.5          166          175           4           8      43752 NORM2U3 
  0.3        0.235           96         459         306        209 COMM3_EX 
  0.2       0.0574           74         102         102        729 TAKE3_EX 
  0.2           62           62           6           0      10376 MPI_Barrier() 
  0.0           10           10        8541           0          1 MPI_Irecv() 
  0.0            8            8          88           0        101 MPI_Allreduce() 
  0.0            1            1           1           0       1643 ALLOC_SPACE 
  0.0         0.61         0.61           7           0         87 MPI_Bcast() 
  0.0       0.0511        0.129         102         102          1 GIVE3_EX 
  0.0        0.112        0.112     642.062           0          0 BUBBLE 
  0.0       0.0145       0.0145           1           0         15 MPI_Reduce() 
  0.0      0.00556      0.00556           2           0          3 SETUP 
  0.0      0.00297      0.00297           6           0          0 POWER 
  0.0     0.000562     0.000562           1           0          1 MPI_Comm_rank() 
  0.0     0.000375     0.000375           1           0          0 MPI_Comm_size() 
