FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00737        1,957           1           1    1957697 .TAU application
100.0        0.283        1,957           1          69    1957689 MG_MPI 
 35.1          686          686           1           0     686304 MPI_Finalize() 
 29.8        0.373          582          21         756      27750 MG3P 
 21.4          418          418           1           0     418803 MPI_Init() 
 21.2          336          415         170         170       2446 RESID 
  9.9          148          193         168         168       1152 PSINV 
  7.9            1          154         487        8766        318 COMM3 
  5.1           72           99         147         147        674 RPRJ3 
  4.4           29           85        2922        2922         29 GIVE3 
  3.6           69           69         147         147        474 INTERP 
  2.9           56           56        2922           0         19 MPI_Send() 
  2.2           41           43        2922        2922         15 READY 
  1.9           18           37           2      619.25      18721 ZRAN3 
  1.4           26           26         151           0        178 ZERO3 
  1.3           18           24        2922        2922          8 TAKE3 
  0.7           11           13           4           8       3475 NORM2U3 
  0.3            6            6           6           0       1099 MPI_Barrier() 
  0.3            6            6        2922           0          2 MPI_Wait() 
  0.1            2            2           7           0        362 MPI_Bcast() 
  0.1            2            2          88           0         28 MPI_Allreduce() 
  0.1            1            1        2922           0          1 MPI_Irecv() 
  0.1            1            1           1           0       1049 ALLOC_SPACE 
  0.0       0.0899       0.0899      525.25           0          0 BUBBLE 
  0.0       0.0444       0.0444         147           0          0 COMM3_EX 
  0.0       0.0146       0.0146           1           0         15 MPI_Reduce() 
  0.0      0.00537      0.00537           2           0          3 SETUP 
  0.0        0.003        0.003           6           0          0 POWER 
  0.0     0.000375     0.000375           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 MPI_Comm_size() 
