Name,#Call
.TAU,1
MPSP,1
ADI,401
Z_SOLVE,401
COPY_FACES,402
COMPUTE_RHS,402
Y_SOLVE,401
X_SOLVE,401
LHSZ,802
MPI_Finalize(),1
LHSY,802
LHSX,802
MPI_Waitall(),2808
TXINVR,401
TZETAR,802
ADD,401
SETUP_MPI,1
MPI_Init(),1
PINVR,802
NINVR,802
INITIALIZE,2
EXACT_RHS,1
VERIFY,1
MPI_Isend(),4818
EXACT_SOLUTION,100001
ERROR_NORM,1
LHSINIT,1
ALLOC_SPACE,1
MPI_Irecv(),4818
RHS_NORM,1
MPI_Bcast(),4
MPI_Barrier(),2
MPI_Comm_dup(),2
MPI_Allreduce(),2
MPI_Reduce(),1
MAKE_SET,1
SET_CONSTANTS,1
MPI_Comm_size(),1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
SET_CLASS,0.25
