FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00519        3,495           1           1    3495886 .TAU application
100.0        0.289        3,495           1     419.062    3495881 MPSP 
 68.8        0.784        2,405         401        2406       5999 ADI 
 22.4           71          782         402        5628       1946 COPY_FACES 
 17.7          619          619         402           0       1541 COMPUTE_RHS 
 15.9          557          557           1           0     557421 MPI_Finalize() 
 15.9          311          556         401       10426       1387 X_SOLVE 
 14.3          210          500         401       10426       1248 Z_SOLVE 
 14.2          225          495         401       10426       1235 Y_SOLVE 
 13.8       0.0276          482           1           5     482813 SETUP_MPI 
 13.8          482          482           1           0     482061 MPI_Init() 
  6.7          234          234        7620           0         31 MPI_Waitall() 
  5.5          190          190        1604           0        119 LHSX 
  5.2          183          183        1604           0        114 LHSZ 
  4.4          152          152        1604           0         95 LHSY 
  1.7           60           60        9630           0          6 MPI_Isend() 
  1.1           38           38        1604           0         24 TZETAR 
  1.0           20           36           2       99840      18301 INITIALIZE 
  1.0           36           36         401           0         90 TXINVR 
  1.0           35           35         401           0         90 ADD 
  0.5           16           16      100001           0          0 EXACT_SOLUTION [THROTTLED]
  0.4           14           14        1604           0          9 PINVR 
  0.4           14           14        1604           0          9 NINVR 
  0.1            5            5        9630           0          1 MPI_Irecv() 
  0.1            5            5           1         161       5075 EXACT_RHS 
  0.1            3            3           2           0       1638 MPI_Barrier() 
  0.1       0.0141            2           1           3       2790 VERIFY 
  0.0            1            1           1           0       1414 LHSINIT 
  0.0        0.708        0.801           1           1        801 ERROR_NORM 
  0.0        0.724        0.724           2           0        362 MPI_Comm_dup() 
  0.0         0.58         0.58           4           0        145 MPI_Bcast() 
  0.0         0.17         0.17           2           0         85 MPI_Allreduce() 
  0.0       0.0338        0.111           1           1        111 RHS_NORM 
  0.0       0.0681       0.0681           1           0         68 ALLOC_SPACE 
  0.0        0.011        0.011           1           0         11 MPI_Reduce() 
  0.0      0.00131      0.00131           1           0          1 SET_CONSTANTS 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0     0.000375     0.000375           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0     0.000375     0.000375           1           0          0 MAKE_SET 
  0.0     0.000125     0.000125           1           0          0 MPI_Comm_rank() 
  0.0            0            0      0.0625           0          0 SET_CLASS 
