FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00531       13,813           1           1   13813270 .TAU application
100.0        0.422       13,813           1     419.062   13813265 MPSP 
 89.9            1       12,422         401        2406      30978 ADI 
 25.2          943        3,485         401       10426       8693 Z_SOLVE 
 22.4          242        3,089         402        5628       7686 COPY_FACES 
 19.7        1,085        2,724         401       10426       6793 Y_SOLVE 
 19.0        1,439        2,627         401       10426       6552 X_SOLVE 
 18.6        2,569        2,569         402           0       6391 COMPUTE_RHS 
 13.6        1,882        1,882        1604           0       1174 LHSZ 
  9.8        1,358        1,358        7620           0        178 MPI_Waitall() 
  7.3        1,006        1,006        1604           0        628 LHSY 
  6.8          945          945        1604           0        590 LHSX 
  5.2          721          721           1           0     721465 MPI_Finalize() 
  4.0         0.03          553           1           5     553165 SETUP_MPI 
  4.0          552          552           1           0     552388 MPI_Init() 
  2.0          270          270         401           0        673 TXINVR 
  1.7          239          239        1604           0        149 TZETAR 
  1.7          231          231         401           0        576 ADD 
  0.6           77           77        9630           0          8 MPI_Isend() 
  0.5           51           67           2      100001      33980 INITIALIZE 
  0.5           65           65        1604           0         41 PINVR 
  0.5           62           62        1604           0         39 NINVR 
  0.1           16           16           1           0      16828 EXACT_RHS 
  0.1           16           16      100001           0          0 EXACT_SOLUTION [THROTTLED]
  0.1           14           14           2           0       7201 MPI_Barrier() 
  0.1       0.0177           10           1           3      10652 VERIFY 
  0.1            7            7        9630           0          1 MPI_Irecv() 
  0.0            2            3           1           1       3005 ERROR_NORM 
  0.0            2            2           1           0       2713 LHSINIT 
  0.0            2            2           1           0       2637 ALLOC_SPACE 
  0.0        0.746        0.746           2           0        373 MPI_Comm_dup() 
  0.0        0.682        0.682           4           0        171 MPI_Bcast() 
  0.0         0.24        0.394           1           1        394 RHS_NORM 
  0.0        0.328        0.328           2           0        164 MPI_Allreduce() 
  0.0       0.0126       0.0126           1           0         13 MPI_Reduce() 
  0.0      0.00169      0.00169           1           0          2 SET_CONSTANTS 
  0.0        0.001        0.001           1           0          1 MAKE_SET 
  0.0     0.000375     0.000375           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0     0.000313     0.000313           1           0          0 MPI_Comm_size() 
  0.0     0.000188     0.000188           1           0          0 MPI_Comm_rank() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
