FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00562       55,451           1           1   55451536 .TAU application
100.0        0.553       55,451           1     419.062   55451530 MPSP 
 97.3            1       53,941         401        2406     134519 ADI 
 26.6          973       14,751         402        5628      36696 COPY_FACES 
 25.5        4,124       14,149         401       10426      35286 Z_SOLVE 
 23.5       13,003       13,003         402           0      32348 COMPUTE_RHS 
 22.2        4,439       12,327         401       10426      30742 Y_SOLVE 
 18.8        6,340       10,444         401       10426      26046 X_SOLVE 
 13.9        7,682        7,682        1604           0       4790 LHSZ 
 10.6        5,871        5,871        7620           0        771 MPI_Waitall() 
  8.0        4,451        4,451        1604           0       2775 LHSY 
  5.8        3,213        3,213        1604           0       2004 LHSX 
  2.3        1,248        1,248         401           0       3113 TXINVR 
  1.9        1,053        1,053         401           0       2627 ADD 
  1.8          974          974        1604           0        607 TZETAR 
  1.3          706          706           1           0     706522 MPI_Finalize() 
  0.9       0.0262          502           1           5     502068 SETUP_MPI 
  0.9          501          501           1           0     501217 MPI_Init() 
  0.4          243          243        1604           0        152 PINVR 
  0.4          235          235        1604           0        147 NINVR 
  0.3          158          173           2      100001      86785 INITIALIZE 
  0.2          102          102        9630           0         11 MPI_Isend() 
  0.1           57           57           1           0      57746 EXACT_RHS 
  0.1       0.0198           51           1           3      51478 VERIFY 
  0.0           15           15        9630           0          2 MPI_Irecv() 
  0.0           15           15      100001           0          0 EXACT_SOLUTION [THROTTLED]
  0.0           11           12           1           1      12089 ERROR_NORM 
  0.0            9            9           1           0       9569 LHSINIT 
  0.0            6            6           1           0       6339 ALLOC_SPACE 
  0.0        0.915            3           1           1       3808 RHS_NORM 
  0.0            3            3           2           0       1762 MPI_Allreduce() 
  0.0            1            1           2           0        525 MPI_Barrier() 
  0.0        0.824        0.824           2           0        412 MPI_Comm_dup() 
  0.0        0.701        0.701           4           0        175 MPI_Bcast() 
  0.0       0.0118       0.0118           1           0         12 MPI_Reduce() 
  0.0      0.00175      0.00175           1           0          2 SET_CONSTANTS 
  0.0      0.00119      0.00119           1           0          1 MAKE_SET 
  0.0     0.000562     0.000562           1           0          1 COMPUTE_BUFFER_SIZE 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
