Name,#Call
.TAU,1
MPSP,1
ADI,401
Z_SOLVE,401
COPY_FACES,402
COMPUTE_RHS,402
Y_SOLVE,401
X_SOLVE,401
LHSZ,401
LHSY,401
MPI_Finalize(),1
LHSX,401
TZETAR,401
TXINVR,401
ADD,401
SETUP_MPI,1
MPI_Init(),1
NINVR,401
PINVR,401
INITIALIZE,2
EXACT_RHS,1
VERIFY,1
EXACT_SOLUTION,100001
ERROR_NORM,1
LHSINIT,1
ALLOC_SPACE,1
RHS_NORM,1
MPI_Comm_dup(),2
MPI_Allreduce(),2
MPI_Bcast(),4
MPI_Barrier(),2
MPI_Reduce(),1
SET_CONSTANTS,1
COMPUTE_BUFFER_SIZE,1
SET_CLASS,1
MAKE_SET,1
MPI_Comm_rank(),1
MPI_Comm_size(),1
