FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0055     5:55.284           1           1  355284234 .TAU application
100.0        0.697     5:55.284           1     519.016  355284229 MPSP 
 99.3            3     5:52.747         501        3006     704088 ADI 
 27.3       22,371     1:36.902         501       29058     193419 Z_SOLVE 
 25.0       23,278     1:28.963         501       29058     177573 Y_SOLVE 
 24.8        4,528     1:28.097         502        7028     175493 COPY_FACES 
 21.6     1:16.714     1:16.714         502           0     152818 COMPUTE_RHS 
 19.8     1:10.468     1:10.468       21544           0       3271 MPI_Waitall() 
 19.0       34,583     1:07.483         501       29058     134698 X_SOLVE 
 14.8       52,570       52,570        4008           0      13116 LHSZ 
  8.0       28,373       28,373        4008           0       7079 LHSY 
  5.3       18,743       18,743        4008           0       4677 LHSX 
  1.7        6,100        6,100         501           0      12176 TXINVR 
  1.5        5,423        5,423        4008           0       1353 TZETAR 
  1.5        5,366        5,366         501           0      10711 ADD 
  0.5        1,953        1,953        4008           0        487 NINVR 
  0.5        1,933        1,933        4008           0        482 PINVR 
  0.2          722          722           1           0     722580 MPI_Finalize() 
  0.2          637          656           2      100001     328053 INITIALIZE 
  0.1       0.0262          475           1           5     475947 SETUP_MPI 
  0.1          474          474           1           0     474625 MPI_Init() 
  0.1       0.0194          305           1           3     305982 VERIFY 
  0.1          298          298       24054           0         12 MPI_Isend() 
  0.1          257          257           1           0     257792 EXACT_RHS 
  0.1          207          207       24054           0          9 MPI_Irecv() 
  0.0           45           88           1           1      88842 ERROR_NORM 
  0.0           86           86           2           0      43043 MPI_Allreduce() 
  0.0           66           66           2           0      33311 MPI_Barrier() 
  0.0            4           47           1           1      47372 RHS_NORM 
  0.0           42           42           1           0      42150 LHSINIT 
  0.0           18           18      100001           0          0 EXACT_SOLUTION [THROTTLED]
  0.0            7            7           1           0       7699 ALLOC_SPACE 
  0.0            1            1           2           0        647 MPI_Comm_dup() 
  0.0        0.689        0.689           4           0        172 MPI_Bcast() 
  0.0       0.0159       0.0159           1           0         16 MPI_Reduce() 
  0.0      0.00178      0.00178           1           0          2 SET_CONSTANTS 
  0.0      0.00145      0.00145           1           0          1 MAKE_SET 
  0.0     0.000625     0.000625           1           0          1 COMPUTE_BUFFER_SIZE 
  0.0     0.000344     0.000344           1           0          0 MPI_Comm_size() 
  0.0     0.000172     0.000172           1           0          0 MPI_Comm_rank() 
  0.0     1.56E-05     1.56E-05    0.015625           0          1 SET_CLASS 
