Name,#Call
.TAU,1
MPSP,1
ADI,501
Z_SOLVE,501
Y_SOLVE,501
COPY_FACES,502
COMPUTE_RHS,502
MPI_Waitall(),21544
X_SOLVE,501
LHSZ,4008
LHSY,4008
LHSX,4008
TXINVR,501
TZETAR,4008
ADD,501
NINVR,4008
PINVR,4008
MPI_Finalize(),1
INITIALIZE,2
SETUP_MPI,1
MPI_Init(),1
VERIFY,1
MPI_Isend(),24054
EXACT_RHS,1
MPI_Irecv(),24054
ERROR_NORM,1
MPI_Allreduce(),2
MPI_Barrier(),2
RHS_NORM,1
LHSINIT,1
EXACT_SOLUTION,100001
ALLOC_SPACE,1
MPI_Comm_dup(),2
MPI_Bcast(),4
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_size(),1
MPI_Comm_rank(),1
SET_CLASS,0.015625
