Name,#Call
.TAU_application,1
MPBT,1
ADI,201
Y_SOLVE,201
Z_SOLVE,201
Y_SOLVE_CELL,201
Z_SOLVE_CELL,201
X_SOLVE,201
X_SOLVE_CELL,201
MPI_Finalize(),1
COPY_FACES,202
COMPUTE_RHS,202
X_BACKSUBSTITUTE,201
Y_BACKSUBSTITUTE,201
Z_BACKSUBSTITUTE,201
INITIALIZE,2
EXACT_SOLUTION,4.19507E+06
SETUP_MPI,1
MPI_Init(),1
ADD,201
EXACT_RHS,1
VERIFY,1
ERROR_NORM,1
LHSINIT,1
ALLOC_SPACE,1
LHSABINIT,603
RHS_NORM,1
MPI_Comm_dup(),2
MPI_Allreduce(),2
MPI_Reduce(),1
MPI_Bcast(),6
MPI_Barrier(),2
MPI_Comm_size(),1
SET_CLASS,1
SET_CONSTANTS,1
BTIO_CLEANUP,1
COMPUTE_BUFFER_SIZE,1
MAKE_SET,1
MPI_Comm_rank(),1
SETUP_BTIO,1
