Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.107     1:27.611          16          16    5475737 .TAU application
100.0            4     1:27.611          16        3569    5475730 MPBT 
 73.5            7     1:04.427        3216       16080      20033 ADI 
 25.5           33       22,363        3216      122208       6954 Z_SOLVE 
 20.8           32       18,258        3216      122208       5677 Y_SOLVE 
 19.7       17,273       17,279       12864       12864       1343 Z_SOLVE_CELL 
 19.4           27       17,009        3216      122208       5289 X_SOLVE 
 16.1       14,136       14,143       12864       12864       1099 Y_SOLVE_CELL 
 15.7       13,704       13,712       12864       12864       1066 X_SOLVE_CELL 
 13.6       11,947       11,947          16           0     746733 MPI_Finalize() 
 10.7        0.477        9,353          16          80     584609 SETUP_MPI 
 10.7        9,341        9,341          16           0     583820 MPI_Init() 
  8.7        7,582        7,582      115776           0         65 MPI_Wait() 
  7.4          540        6,484        3232       45248       2006 COPY_FACES 
  5.1        4,473        4,473        3232           0       1384 COMPUTE_RHS 
  1.5        1,280        1,280       12864           0        100 X_BACKSUBSTITUTE 
  1.2        1,049        1,049        3232           0        325 MPI_Waitall() 
  1.2          470        1,034          32 3.19488E+06      32336 INITIALIZE 
  1.1          952          952       12864           0         74 Y_BACKSUBSTITUTE 
  1.0          874          874       12864           0         68 Z_BACKSUBSTITUTE 
  0.9          770          770 4.33346E+06           0          0 EXACT_SOLUTION 
  0.7          600          600        9648           0         62 X_UNPACK_SOLVE_INFO 
  0.6          512          512       77280           0          7 MPI_Isend() 
  0.4          349          349          32           0      10927 MPI_Barrier() 
  0.4          180          349          16      876432      21832 EXACT_RHS 
  0.4          332          332        3216           0        103 ADD 
  0.3          298          298        9648           0         31 Y_UNPACK_SOLVE_INFO 
  0.3          257          257        9648           0         27 Z_UNPACK_SOLVE_INFO 
  0.2          123          134        9648        9648         14 X_SEND_SOLVE_INFO 
  0.1        0.222           99          16          48       6219 VERIFY 
  0.1           80           97        9648        9648         10 Y_SEND_SOLVE_INFO 
  0.1           77           90        9648        9648          9 Z_SEND_SOLVE_INFO 
  0.1           29           69          16      262160       4324 ERROR_NORM 
  0.1           54           54       77280           0          1 MPI_Irecv() 
  0.1           23           54        9648        9648          6 X_SEND_BACKSUB_INFO 
  0.0           16           37        9648        9648          4 Y_SEND_BACKSUB_INFO 
  0.0           13           35        9648        9648          4 Z_SEND_BACKSUB_INFO 
  0.0           32           32          16           0       2039 LHSINIT 
  0.0           21           21       38592           0          1 LHSABINIT 
  0.0           18           18        9648           0          2 X_UNPACK_BACKSUB_INFO 
  0.0           16           16        9648           0          2 Z_UNPACK_BACKSUB_INFO 
  0.0           16           16        9648           0          2 Y_UNPACK_BACKSUB_INFO 
  0.0           12           12          32           0        379 MPI_Comm_dup() 
  0.0           11           11          96           0        120 MPI_Bcast() 
  0.0            3            9        9648        9648          1 X_RECEIVE_SOLVE_INFO 
  0.0            3            8        9648        9648          1 Y_RECEIVE_SOLVE_INFO 
  0.0            3            8        9648        9648          1 Z_RECEIVE_BACKSUB_INFO 
  0.0            3            8        9648        9648          1 X_RECEIVE_BACKSUB_INFO 
  0.0            3            8        9648        9648          1 Z_RECEIVE_SOLVE_INFO 
  0.0            3            8        9648        9648          1 Y_RECEIVE_BACKSUB_INFO 
  0.0            3            3          32           0         97 MPI_Allreduce() 
  0.0         0.63            1          16          16        100 RHS_NORM 
  0.0            1            1          16           0         76 ALLOC_SPACE 
  0.0        0.148        0.148          16           0          9 MPI_Reduce() 
  0.0        0.025        0.025          16           0          2 SET_CONSTANTS 
  0.0        0.013        0.013          16           0          1 MAKE_SET 
  0.0        0.008        0.008          16           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.007        0.007          16           0          0 MPI_Comm_size() 
  0.0        0.006        0.006          16           0          0 BTIO_CLEANUP 
  0.0        0.005        0.005          16           0          0 SETUP_BTIO 
  0.0        0.002        0.002          16           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00669        5,475           1           1    5475737 .TAU application
100.0        0.266        5,475           1     223.062    5475730 MPBT 
 73.5        0.489        4,026         201        1005      20033 ADI 
 25.5            2        1,397         201        7638       6954 Z_SOLVE 
 20.8            2        1,141         201        7638       5677 Y_SOLVE 
 19.7        1,079        1,079         804         804       1343 Z_SOLVE_CELL 
 19.4            1        1,063         201        7638       5289 X_SOLVE 
 16.1          883          883         804         804       1099 Y_SOLVE_CELL 
 15.7          856          857         804         804       1066 X_SOLVE_CELL 
 13.6          746          746           1           0     746733 MPI_Finalize() 
 10.7       0.0298          584           1           5     584609 SETUP_MPI 
 10.7          583          583           1           0     583820 MPI_Init() 
  8.7          473          473        7236           0         65 MPI_Wait() 
  7.4           33          405         202        2828       2006 COPY_FACES 
  5.1          279          279         202           0       1384 COMPUTE_RHS 
  1.5           80           80         804           0        100 X_BACKSUBSTITUTE 
  1.2           65           65         202           0        325 MPI_Waitall() 
  1.2           29           64           2      199680      32336 INITIALIZE 
  1.1           59           59         804           0         74 Y_BACKSUBSTITUTE 
  1.0           54           54         804           0         68 Z_BACKSUBSTITUTE 
  0.9           48           48      270841           0          0 EXACT_SOLUTION 
  0.7           37           37         603           0         62 X_UNPACK_SOLVE_INFO 
  0.6           32           32        4830           0          7 MPI_Isend() 
  0.4           21           21           2           0      10927 MPI_Barrier() 
  0.4           11           21           1       54777      21832 EXACT_RHS 
  0.4           20           20         201           0        103 ADD 
  0.3           18           18         603           0         31 Y_UNPACK_SOLVE_INFO 
  0.3           16           16         603           0         27 Z_UNPACK_SOLVE_INFO 
  0.2            7            8         603         603         14 X_SEND_SOLVE_INFO 
  0.1       0.0139            6           1           3       6219 VERIFY 
  0.1            5            6         603         603         10 Y_SEND_SOLVE_INFO 
  0.1            4            5         603         603          9 Z_SEND_SOLVE_INFO 
  0.1            1            4           1       16385       4324 ERROR_NORM 
  0.1            3            3        4830           0          1 MPI_Irecv() 
  0.1            1            3         603         603          6 X_SEND_BACKSUB_INFO 
  0.0            1            2         603         603          4 Y_SEND_BACKSUB_INFO 
  0.0        0.863            2         603         603          4 Z_SEND_BACKSUB_INFO 
  0.0            2            2           1           0       2039 LHSINIT 
  0.0            1            1        2412           0          1 LHSABINIT 
  0.0            1            1         603           0          2 X_UNPACK_BACKSUB_INFO 
  0.0            1            1         603           0          2 Z_UNPACK_BACKSUB_INFO 
  0.0            1            1         603           0          2 Y_UNPACK_BACKSUB_INFO 
  0.0        0.758        0.758           2           0        379 MPI_Comm_dup() 
  0.0        0.723        0.723           6           0        120 MPI_Bcast() 
  0.0        0.228        0.613         603         603          1 X_RECEIVE_SOLVE_INFO 
  0.0         0.22        0.556         603         603          1 Y_RECEIVE_SOLVE_INFO 
  0.0        0.216        0.553         603         603          1 Z_RECEIVE_BACKSUB_INFO 
  0.0        0.212        0.534         603         603          1 X_RECEIVE_BACKSUB_INFO 
  0.0        0.226        0.524         603         603          1 Z_RECEIVE_SOLVE_INFO 
  0.0        0.223        0.505         603         603          1 Y_RECEIVE_BACKSUB_INFO 
  0.0        0.195        0.195           2           0         97 MPI_Allreduce() 
  0.0       0.0394          0.1           1           1        100 RHS_NORM 
  0.0       0.0762       0.0762           1           0         76 ALLOC_SPACE 
  0.0      0.00925      0.00925           1           0          9 MPI_Reduce() 
  0.0      0.00156      0.00156           1           0          2 SET_CONSTANTS 
  0.0     0.000812     0.000812           1           0          1 MAKE_SET 
  0.0       0.0005       0.0005           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0     0.000438     0.000438           1           0          0 MPI_Comm_size() 
  0.0     0.000375     0.000375           1           0          0 BTIO_CLEANUP 
  0.0     0.000313     0.000313           1           0          0 SETUP_BTIO 
  0.0     0.000125     0.000125           1           0          0 MPI_Comm_rank() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
