Name,#Call
.TAU_application,1
MPBT,1
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
ADI,61
MPI_Wait(),2196
Y_SOLVE,61
Z_SOLVE,61
X_SOLVE,61
COPY_FACES,62
Y_SOLVE_CELL,244
X_SOLVE_CELL,244
Z_SOLVE_CELL,244
MPI_Isend(),1470
MPI_Waitall(),62
COMPUTE_RHS,62
MPI_Comm_dup(),2
MPI_Bcast(),6
MPI_Irecv(),1470
INITIALIZE,2
MPI_Barrier(),2
X_SEND_SOLVE_INFO,183
EXACT_SOLUTION,1962
Y_SEND_SOLVE_INFO,183
X_SEND_BACKSUB_INFO,183
Z_SEND_SOLVE_INFO,183
VERIFY,1
X_UNPACK_SOLVE_INFO,183
EXACT_RHS,1
Y_UNPACK_SOLVE_INFO,183
Y_SEND_BACKSUB_INFO,183
Z_SEND_BACKSUB_INFO,183
LHSABINIT,732
Z_UNPACK_SOLVE_INFO,183
Y_BACKSUBSTITUTE,244
Z_BACKSUBSTITUTE,244
X_BACKSUBSTITUTE,244
X_RECEIVE_SOLVE_INFO,183
Y_RECEIVE_SOLVE_INFO,183
Z_RECEIVE_SOLVE_INFO,183
Z_RECEIVE_BACKSUB_INFO,183
X_RECEIVE_BACKSUB_INFO,183
Y_RECEIVE_BACKSUB_INFO,183
ERROR_NORM,1
MPI_Allreduce(),2
ADD,61
ALLOC_SPACE,1
Z_UNPACK_BACKSUB_INFO,183
LHSINIT,1
X_UNPACK_BACKSUB_INFO,183
Y_UNPACK_BACKSUB_INFO,183
RHS_NORM,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
COMPUTE_BUFFER_SIZE,1
SETUP_BTIO,1
MPI_Comm_size(),1
BTIO_CLEANUP,1
MPI_Comm_rank(),1
SET_CLASS,0.0625
