Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.094       18,692          16          16    1168303 .TAU application
100.0            2       18,692          16        1329    1168297 MPBT 
 54.3       10,145       10,145          16           0     634068 MPI_Finalize() 
 43.6        0.495        8,141          16          80     508825 SETUP_MPI 
 43.5        8,127        8,127          16           0     507962 MPI_Init() 
  2.0            1          367         976        4880        377 ADI 
  0.7          130          130       35136           0          4 MPI_Wait() 
  0.6            7          110         976       37088        113 Y_SOLVE 
  0.5            7           99         976       37088        102 Z_SOLVE 
  0.5            6           90         976       37088         93 X_SOLVE 
  0.4            7           66         992       13888         67 COPY_FACES 
  0.2           29           30        3904        3904          8 Y_SOLVE_CELL 
  0.2           29           30        3904        3904          8 X_SOLVE_CELL 
  0.2           29           30        3904        3904          8 Z_SOLVE_CELL 
  0.2           28           28       23520           0          1 MPI_Isend() 
  0.1           22           22         992           0         22 MPI_Waitall() 
  0.1           19           19         992           0         19 COMPUTE_RHS 
  0.1           13           13          32           0        416 MPI_Comm_dup() 
  0.1           11           11          96           0        121 MPI_Bcast() 
  0.1            9            9       23520           0          0 MPI_Irecv() 
  0.0            4            8          32       22464        269 INITIALIZE 
  0.0            7            7          32           0        250 MPI_Barrier() 
  0.0            2            6        2928        2928          2 X_SEND_SOLVE_INFO 
  0.0            5            5       31392           0          0 EXACT_SOLUTION 
  0.0            2            4        2928        2928          2 Y_SEND_SOLVE_INFO 
  0.0            1            4        2928        2928          2 X_SEND_BACKSUB_INFO 
  0.0            2            4        2928        2928          2 Z_SEND_SOLVE_INFO 
  0.0        0.265            3          16          48        217 VERIFY 
  0.0            3            3        2928           0          1 X_UNPACK_SOLVE_INFO 
  0.0            1            3          16        7200        192 EXACT_RHS 
  0.0            2            2        2928           0          1 Y_UNPACK_SOLVE_INFO 
  0.0            1            2        2928        2928          1 Y_SEND_BACKSUB_INFO 
  0.0            1            2        2928        2928          1 Z_SEND_BACKSUB_INFO 
  0.0            2            2       11712           0          0 LHSABINIT 
  0.0            2            2        2928           0          1 Z_UNPACK_SOLVE_INFO 
  0.0            2            2        3904           0          1 Y_BACKSUBSTITUTE 
  0.0            2            2        3904           0          1 Z_BACKSUBSTITUTE 
  0.0            2            2        3904           0          1 X_BACKSUBSTITUTE 
  0.0            1            2        2928        2928          1 X_RECEIVE_SOLVE_INFO 
  0.0            1            2        2928        2928          1 Y_RECEIVE_SOLVE_INFO 
  0.0            1            2        2928        2928          1 Z_RECEIVE_SOLVE_INFO 
  0.0            1            2        2928        2928          1 Z_RECEIVE_BACKSUB_INFO 
  0.0            1            2        2928        2928          1 X_RECEIVE_BACKSUB_INFO 
  0.0            1            2        2928        2928          1 Y_RECEIVE_BACKSUB_INFO 
  0.0         0.34            1          16        1744        124 ERROR_NORM 
  0.0            1            1          32           0         53 MPI_Allreduce() 
  0.0         0.84         0.84         976           0          1 ADD 
  0.0        0.799        0.799          16           0         50 ALLOC_SPACE 
  0.0         0.68         0.68        2928           0          0 Z_UNPACK_BACKSUB_INFO 
  0.0         0.67         0.67          16           0         42 LHSINIT 
  0.0        0.662        0.662        2928           0          0 X_UNPACK_BACKSUB_INFO 
  0.0        0.657        0.657        2928           0          0 Y_UNPACK_BACKSUB_INFO 
  0.0        0.023        0.394          16          16         25 RHS_NORM 
  0.0        0.129        0.129          16           0          8 MPI_Reduce() 
  0.0        0.011        0.011          16           0          1 SET_CONSTANTS 
  0.0        0.009        0.009          16           0          1 MAKE_SET 
  0.0        0.007        0.007          16           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.007        0.007          16           0          0 SETUP_BTIO 
  0.0        0.006        0.006          16           0          0 MPI_Comm_size() 
  0.0        0.005        0.005          16           0          0 BTIO_CLEANUP 
  0.0        0.004        0.004          16           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00588        1,168           1           1    1168303 .TAU application
100.0        0.144        1,168           1     83.0625    1168297 MPBT 
 54.3          634          634           1           0     634068 MPI_Finalize() 
 43.6       0.0309          508           1           5     508825 SETUP_MPI 
 43.5          507          507           1           0     507962 MPI_Init() 
  2.0       0.0814           22          61         305        377 ADI 
  0.7            8            8        2196           0          4 MPI_Wait() 
  0.6        0.452            6          61        2318        113 Y_SOLVE 
  0.5        0.448            6          61        2318        102 Z_SOLVE 
  0.5        0.415            5          61        2318         93 X_SOLVE 
  0.4        0.497            4          62         868         67 COPY_FACES 
  0.2            1            1         244         244          8 Y_SOLVE_CELL 
  0.2            1            1         244         244          8 X_SOLVE_CELL 
  0.2            1            1         244         244          8 Z_SOLVE_CELL 
  0.2            1            1        1470           0          1 MPI_Isend() 
  0.1            1            1          62           0         22 MPI_Waitall() 
  0.1            1            1          62           0         19 COMPUTE_RHS 
  0.1        0.832        0.832           2           0        416 MPI_Comm_dup() 
  0.1        0.724        0.724           6           0        121 MPI_Bcast() 
  0.1        0.594        0.594        1470           0          0 MPI_Irecv() 
  0.0        0.274        0.538           2        1404        269 INITIALIZE 
  0.0        0.499        0.499           2           0        250 MPI_Barrier() 
  0.0        0.159        0.375         183         183          2 X_SEND_SOLVE_INFO 
  0.0        0.373        0.373        1962           0          0 EXACT_SOLUTION 
  0.0        0.142        0.298         183         183          2 Y_SEND_SOLVE_INFO 
  0.0       0.0801        0.293         183         183          2 X_SEND_BACKSUB_INFO 
  0.0        0.134         0.28         183         183          2 Z_SEND_SOLVE_INFO 
  0.0       0.0166        0.217           1           3        217 VERIFY 
  0.0        0.207        0.207         183           0          1 X_UNPACK_SOLVE_INFO 
  0.0        0.104        0.192           1         450        192 EXACT_RHS 
  0.0        0.177        0.177         183           0          1 Y_UNPACK_SOLVE_INFO 
  0.0       0.0823        0.176         183         183          1 Y_SEND_BACKSUB_INFO 
  0.0        0.083        0.176         183         183          1 Z_SEND_BACKSUB_INFO 
  0.0        0.164        0.164         732           0          0 LHSABINIT 
  0.0        0.152        0.152         183           0          1 Z_UNPACK_SOLVE_INFO 
  0.0         0.15         0.15         244           0          1 Y_BACKSUBSTITUTE 
  0.0        0.149        0.149         244           0          1 Z_BACKSUBSTITUTE 
  0.0        0.148        0.148         244           0          1 X_BACKSUBSTITUTE 
  0.0       0.0693        0.145         183         183          1 X_RECEIVE_SOLVE_INFO 
  0.0       0.0678        0.145         183         183          1 Y_RECEIVE_SOLVE_INFO 
  0.0       0.0666        0.141         183         183          1 Z_RECEIVE_SOLVE_INFO 
  0.0       0.0698        0.132         183         183          1 Z_RECEIVE_BACKSUB_INFO 
  0.0       0.0662         0.13         183         183          1 X_RECEIVE_BACKSUB_INFO 
  0.0       0.0658        0.128         183         183          1 Y_RECEIVE_BACKSUB_INFO 
  0.0       0.0213        0.124           1         109        124 ERROR_NORM 
  0.0        0.105        0.105           2           0         53 MPI_Allreduce() 
  0.0       0.0525       0.0525          61           0          1 ADD 
  0.0       0.0499       0.0499           1           0         50 ALLOC_SPACE 
  0.0       0.0425       0.0425         183           0          0 Z_UNPACK_BACKSUB_INFO 
  0.0       0.0419       0.0419           1           0         42 LHSINIT 
  0.0       0.0414       0.0414         183           0          0 X_UNPACK_BACKSUB_INFO 
  0.0       0.0411       0.0411         183           0          0 Y_UNPACK_BACKSUB_INFO 
  0.0      0.00144       0.0246           1           1         25 RHS_NORM 
  0.0      0.00806      0.00806           1           0          8 MPI_Reduce() 
  0.0     0.000687     0.000687           1           0          1 SET_CONSTANTS 
  0.0     0.000562     0.000562           1           0          1 MAKE_SET 
  0.0     0.000438     0.000438           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0     0.000438     0.000438           1           0          0 SETUP_BTIO 
  0.0     0.000375     0.000375           1           0          0 MPI_Comm_size() 
  0.0     0.000313     0.000313           1           0          0 BTIO_CLEANUP 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
