Name,#Call
.TAU_application,1
MPBT,1
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
ADI,201
MPI_Wait(),7236
Y_SOLVE,201
X_SOLVE,201
Z_SOLVE,201
COPY_FACES,202
Y_SOLVE_CELL,804
Z_SOLVE_CELL,804
X_SOLVE_CELL,804
MPI_Waitall(),202
COMPUTE_RHS,202
MPI_Isend(),4830
INITIALIZE,2
X_BACKSUBSTITUTE,804
X_SEND_SOLVE_INFO,603
Y_BACKSUBSTITUTE,804
Z_BACKSUBSTITUTE,804
X_UNPACK_SOLVE_INFO,603
EXACT_SOLUTION,14931
MPI_Irecv(),4830
Y_SEND_SOLVE_INFO,603
Z_SEND_SOLVE_INFO,603
Y_UNPACK_SOLVE_INFO,603
Z_UNPACK_SOLVE_INFO,603
MPI_Barrier(),2
EXACT_RHS,1
X_SEND_BACKSUB_INFO,603
MPI_Bcast(),6
VERIFY,1
MPI_Comm_dup(),2
Z_SEND_BACKSUB_INFO,603
Y_SEND_BACKSUB_INFO,603
ADD,201
LHSABINIT,2412
ERROR_NORM,1
Y_RECEIVE_SOLVE_INFO,603
X_RECEIVE_SOLVE_INFO,603
Z_RECEIVE_SOLVE_INFO,603
Z_RECEIVE_BACKSUB_INFO,603
Y_RECEIVE_BACKSUB_INFO,603
X_RECEIVE_BACKSUB_INFO,603
MPI_Allreduce(),2
X_UNPACK_BACKSUB_INFO,603
Y_UNPACK_BACKSUB_INFO,603
Z_UNPACK_BACKSUB_INFO,603
LHSINIT,1
RHS_NORM,1
ALLOC_SPACE,1
MPI_Reduce(),1
SET_CONSTANTS,1
MAKE_SET,1
MPI_Comm_size(),1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
BTIO_CLEANUP,1
SETUP_BTIO,1
SET_CLASS,0.0625
