Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.022       41,596           4           4   10399190 .TAU application
100.0            1       41,596           4         893   10399185 MPBT 
 88.7       36,878       36,878           4           0    9219556 MPI_Finalize() 
  5.7        0.834        2,374         804        4020       2954 ADI 
  5.5        0.128        2,275           4          20     568933 SETUP_MPI 
  5.5        2,274        2,274           4           0     568635 MPI_Init() 
  1.7            2          723         804       11256        900 Z_SOLVE 
  1.7            2          710         804       11256        883 Y_SOLVE 
  1.7            2          692         804       11256        861 X_SOLVE 
  1.6          655          656        1608        1608        408 Z_SOLVE_CELL 
  1.5          632          632        1608        1608        394 Y_SOLVE_CELL 
  1.5          613          614        1608        1608        382 X_SOLVE_CELL 
  0.6           14          240         808       11312        297 COPY_FACES 
  0.5          189          189         808           0        234 COMPUTE_RHS 
  0.2           74           74        9648           0          8 MPI_Wait() 
  0.1           18           43           8      172800       5447 INITIALIZE 
  0.1           36           36        1608           0         22 X_BACKSUBSTITUTE 
  0.1           32           32      227280           0          0 EXACT_SOLUTION 
  0.1           32           32        1608           0         20 Y_BACKSUBSTITUTE 
  0.1           29           29        1608           0         18 Z_BACKSUBSTITUTE 
  0.1           28           28         808           0         36 MPI_Waitall() 
  0.0           12           12        9672           0          1 MPI_Isend() 
  0.0            5           11           4       40656       2917 EXACT_RHS 
  0.0            9            9         804           0         11 X_UNPACK_SOLVE_INFO 
  0.0            8            8         804           0         11 ADD 
  0.0            4            5         804         804          7 X_SEND_SOLVE_INFO 
  0.0        0.198            5           4          12       1286 VERIFY 
  0.0            4            4         804           0          6 Y_UNPACK_SOLVE_INFO 
  0.0            3            4         804         804          6 Z_SEND_SOLVE_INFO 
  0.0            3            4         804         804          6 Y_SEND_SOLVE_INFO 
  0.0            4            4         804           0          5 Z_UNPACK_SOLVE_INFO 
  0.0            1            3           4       13828        929 ERROR_NORM 
  0.0            3            3        9672           0          0 MPI_Irecv() 
  0.0            2            2          24           0        106 MPI_Bcast() 
  0.0            1            2         804         804          3 X_SEND_BACKSUB_INFO 
  0.0            2            2        4824           0          0 LHSABINIT 
  0.0        0.864            1         804         804          2 Y_SEND_BACKSUB_INFO 
  0.0            1            1           4           0        477 LHSINIT 
  0.0        0.769            1         804         804          2 Z_SEND_BACKSUB_INFO 
  0.0            1            1           8           0        159 MPI_Barrier() 
  0.0            1            1           8           0        133 MPI_Comm_dup() 
  0.0        0.303        0.603         804         804          1 Z_RECEIVE_SOLVE_INFO 
  0.0        0.275        0.591         804         804          1 X_RECEIVE_SOLVE_INFO 
  0.0        0.286        0.591         804         804          1 Z_RECEIVE_BACKSUB_INFO 
  0.0        0.268        0.589         804         804          1 Y_RECEIVE_SOLVE_INFO 
  0.0        0.282        0.585         804         804          1 X_RECEIVE_BACKSUB_INFO 
  0.0        0.289        0.576         804         804          1 Y_RECEIVE_BACKSUB_INFO 
  0.0        0.525        0.525         804           0          1 X_UNPACK_BACKSUB_INFO 
  0.0        0.503        0.503         804           0          1 Z_UNPACK_BACKSUB_INFO 
  0.0        0.498        0.498         804           0          1 Y_UNPACK_BACKSUB_INFO 
  0.0        0.209        0.209           4           0         52 ALLOC_SPACE 
  0.0        0.159        0.159           8           0         20 MPI_Allreduce() 
  0.0         0.03        0.071           4           4         18 RHS_NORM 
  0.0        0.026        0.026           4           0          6 MPI_Reduce() 
  0.0        0.004        0.004           4           0          1 SET_CONSTANTS 
  0.0        0.002        0.002           4           0          0 BTIO_CLEANUP 
  0.0        0.002        0.002           4           0          0 MPI_Comm_size() 
  0.0        0.001        0.001           4           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.001        0.001           4           0          0 MAKE_SET 
  0.0        0.001        0.001           1           0          1 SET_CLASS 
  0.0            0            0           4           0          0 MPI_Comm_rank() 
  0.0            0            0           4           0          0 SETUP_BTIO 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0055       10,399           1           1   10399190 .TAU application
100.0        0.388       10,399           1      223.25   10399185 MPBT 
 88.7        9,219        9,219           1           0    9219556 MPI_Finalize() 
  5.7        0.208          593         201        1005       2954 ADI 
  5.5        0.032          568           1           5     568933 SETUP_MPI 
  5.5          568          568           1           0     568635 MPI_Init() 
  1.7        0.648          180         201        2814        900 Z_SOLVE 
  1.7        0.666          177         201        2814        883 Y_SOLVE 
  1.7        0.551          173         201        2814        861 X_SOLVE 
  1.6          163          164         402         402        408 Z_SOLVE_CELL 
  1.5          158          158         402         402        394 Y_SOLVE_CELL 
  1.5          153          153         402         402        382 X_SOLVE_CELL 
  0.6            3           60         202        2828        297 COPY_FACES 
  0.5           47           47         202           0        234 COMPUTE_RHS 
  0.2           18           18        2412           0          8 MPI_Wait() 
  0.1            4           10           2       43200       5447 INITIALIZE 
  0.1            9            9         402           0         22 X_BACKSUBSTITUTE 
  0.1            8            8       56820           0          0 EXACT_SOLUTION 
  0.1            8            8         402           0         20 Y_BACKSUBSTITUTE 
  0.1            7            7         402           0         18 Z_BACKSUBSTITUTE 
  0.1            7            7         202           0         36 MPI_Waitall() 
  0.0            3            3        2418           0          1 MPI_Isend() 
  0.0            1            2           1       10164       2917 EXACT_RHS 
  0.0            2            2         201           0         11 X_UNPACK_SOLVE_INFO 
  0.0            2            2         201           0         11 ADD 
  0.0            1            1         201         201          7 X_SEND_SOLVE_INFO 
  0.0       0.0495            1           1           3       1286 VERIFY 
  0.0            1            1         201           0          6 Y_UNPACK_SOLVE_INFO 
  0.0        0.814            1         201         201          6 Z_SEND_SOLVE_INFO 
  0.0        0.824            1         201         201          6 Y_SEND_SOLVE_INFO 
  0.0            1            1         201           0          5 Z_UNPACK_SOLVE_INFO 
  0.0        0.401        0.929           1        3457        929 ERROR_NORM 
  0.0        0.859        0.859        2418           0          0 MPI_Irecv() 
  0.0        0.637        0.637           6           0        106 MPI_Bcast() 
  0.0        0.266        0.532         201         201          3 X_SEND_BACKSUB_INFO 
  0.0        0.514        0.514        1206           0          0 LHSABINIT 
  0.0        0.216        0.483         201         201          2 Y_SEND_BACKSUB_INFO 
  0.0        0.477        0.477           1           0        477 LHSINIT 
  0.0        0.192        0.466         201         201          2 Z_SEND_BACKSUB_INFO 
  0.0        0.317        0.317           2           0        159 MPI_Barrier() 
  0.0        0.266        0.266           2           0        133 MPI_Comm_dup() 
  0.0       0.0757        0.151         201         201          1 Z_RECEIVE_SOLVE_INFO 
  0.0       0.0688        0.148         201         201          1 X_RECEIVE_SOLVE_INFO 
  0.0       0.0715        0.148         201         201          1 Z_RECEIVE_BACKSUB_INFO 
  0.0        0.067        0.147         201         201          1 Y_RECEIVE_SOLVE_INFO 
  0.0       0.0705        0.146         201         201          1 X_RECEIVE_BACKSUB_INFO 
  0.0       0.0722        0.144         201         201          1 Y_RECEIVE_BACKSUB_INFO 
  0.0        0.131        0.131         201           0          1 X_UNPACK_BACKSUB_INFO 
  0.0        0.126        0.126         201           0          1 Z_UNPACK_BACKSUB_INFO 
  0.0        0.124        0.124         201           0          1 Y_UNPACK_BACKSUB_INFO 
  0.0       0.0522       0.0522           1           0         52 ALLOC_SPACE 
  0.0       0.0398       0.0398           2           0         20 MPI_Allreduce() 
  0.0       0.0075       0.0177           1           1         18 RHS_NORM 
  0.0       0.0065       0.0065           1           0          6 MPI_Reduce() 
  0.0        0.001        0.001           1           0          1 SET_CONSTANTS 
  0.0       0.0005       0.0005           1           0          0 BTIO_CLEANUP 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0      0.00025      0.00025           1           0          0 MAKE_SET 
  0.0      0.00025      0.00025        0.25           0          1 SET_CLASS 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 SETUP_BTIO 
