Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.086       20,069           8           8    2508674 .TAU application
100.0            3       20,069           8         864    2508663 CG 
 64.1       12,872       12,872           8           0    1609118 MPI_Finalize() 
 25.7         0.88        5,163           8          32     645439 INITIALIZE_MPI 
 25.7        5,158        5,158           8           0     644774 MPI_Init() 
  8.6        1,438        1,723         128       61152      13463 CONJ_GRAD 
  1.5           38          302           8      126008      37754 MAKEA 
  1.2          234          234       20608           0         11 MPI_Wait() 
  0.9           90          177       63000      638735          3 SPRNVC 
  0.4           86           86      638735           0          0 ICNVRT 
  0.4           76           76           8           0       9593 SPARSE 
  0.2           43           43       20608           0          2 MPI_Send() 
  0.0            9            9       63000           0          0 VECSET 
  0.0            7            7       20608           0          0 MPI_Irecv() 
  0.0            4            4           8           0        554 MPI_Bcast() 
  0.0            2            2           8           0        269 ALLOC_SPACE 
  0.0        0.914        0.914           8           0        114 MPI_Barrier() 
  0.0        0.392        0.392           8           0         49 MPI_Reduce() 
  0.0        0.004        0.004           8           0          0 MPI_Comm_rank() 
  0.0        0.004        0.004           8           0          0 SETUP_SUBMATRIX_INFO 
  0.0        0.003        0.003           8           0          0 MPI_Comm_size() 
  0.0        0.002        0.002           8           0          0 SETUP_PROC_INFO 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0107        2,508           1           1    2508674 .TAU application
100.0        0.478        2,508           1         108    2508663 CG 
 64.1        1,609        1,609           1           0    1609118 MPI_Finalize() 
 25.7         0.11          645           1           4     645439 INITIALIZE_MPI 
 25.7          644          644           1           0     644774 MPI_Init() 
  8.6          179          215          16        7644      13463 CONJ_GRAD 
  1.5            4           37           1       15751      37754 MAKEA 
  1.2           29           29        2576           0         11 MPI_Wait() 
  0.9           11           22        7875     79841.9          3 SPRNVC 
  0.4           10           10     79841.9           0          0 ICNVRT 
  0.4            9            9           1           0       9593 SPARSE 
  0.2            5            5        2576           0          2 MPI_Send() 
  0.0            1            1        7875           0          0 VECSET 
  0.0          0.9          0.9        2576           0          0 MPI_Irecv() 
  0.0        0.554        0.554           1           0        554 MPI_Bcast() 
  0.0        0.269        0.269           1           0        269 ALLOC_SPACE 
  0.0        0.114        0.114           1           0        114 MPI_Barrier() 
  0.0        0.049        0.049           1           0         49 MPI_Reduce() 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_rank() 
  0.0       0.0005       0.0005           1           0          0 SETUP_SUBMATRIX_INFO 
  0.0     0.000375     0.000375           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 SETUP_PROC_INFO 
