Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.011        8,936           1           1    8936340 .TAU application
100.0         0.57        8,936           1          24    8936329 CG 
 92.7        8,282        8,282           1           0    8282294 MPI_Finalize() 
  6.9        0.484          613           1           4     613461 INITIALIZE_MPI 
  6.9          612          612           1           0     612972 MPI_Init() 
  0.4           33           33          16           0       2074 CONJ_GRAD 
  0.1            1            6           1        2801       6736 MAKEA 
  0.0            1            3        1400       14497          3 SPRNVC 
  0.0            1            1       14497           0          0 ICNVRT 
  0.0            1            1           1           0       1676 SPARSE 
  0.0        0.168        0.168        1400           0          0 VECSET 
  0.0        0.044        0.044           1           0         44 ALLOC_SPACE 
  0.0        0.042        0.042           1           0         42 MPI_Reduce() 
  0.0        0.005        0.005           1           0          5 MPI_Bcast() 
  0.0        0.003        0.003           1           0          3 MPI_Barrier() 
  0.0        0.001        0.001           1           0          1 SETUP_SUBMATRIX_INFO 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 MPI_Comm_size() 
  0.0            0            0           1           0          0 SETUP_PROC_INFO 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.011        8,936           1           1    8936340 .TAU application
100.0         0.57        8,936           1          24    8936329 CG 
 92.7        8,282        8,282           1           0    8282294 MPI_Finalize() 
  6.9        0.484          613           1           4     613461 INITIALIZE_MPI 
  6.9          612          612           1           0     612972 MPI_Init() 
  0.4           33           33          16           0       2074 CONJ_GRAD 
  0.1            1            6           1        2801       6736 MAKEA 
  0.0            1            3        1400       14497          3 SPRNVC 
  0.0            1            1       14497           0          0 ICNVRT 
  0.0            1            1           1           0       1676 SPARSE 
  0.0        0.168        0.168        1400           0          0 VECSET 
  0.0        0.044        0.044           1           0         44 ALLOC_SPACE 
  0.0        0.042        0.042           1           0         42 MPI_Reduce() 
  0.0        0.005        0.005           1           0          5 MPI_Bcast() 
  0.0        0.003        0.003           1           0          3 MPI_Barrier() 
  0.0        0.001        0.001           1           0          1 SETUP_SUBMATRIX_INFO 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 MPI_Comm_size() 
  0.0            0            0           1           0          0 SETUP_PROC_INFO 
