Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.074       41,906           8           8    5238254 .TAU application
100.0            1       41,905           8         768    5238245 CG 
 87.3       36,583       36,583           8           0    4572951 MPI_Finalize() 
 11.1        0.904        4,658           8          32     582306 INITIALIZE_MPI 
 11.1        4,653        4,653           8           0     581708 MPI_Init() 
  1.2          314          497         128       54912       3886 CONJ_GRAD 
  0.4           23          163           8       67208      20386 MAKEA 
  0.3           61          117       33600      319924          3 SPRNVC 
  0.2           91           91       18496           0          5 MPI_Wait() 
  0.2           84           84       18496           0          5 MPI_Send() 
  0.1           56           56      319924           0          0 ICNVRT 
  0.0           15           15           8           0       1931 SPARSE 
  0.0            7            7       18496           0          0 MPI_Irecv() 
  0.0            6            6       33600           0          0 VECSET 
  0.0            3            3           8           0        485 MPI_Bcast() 
  0.0        0.455        0.455           8           0         57 MPI_Barrier() 
  0.0        0.446        0.446           8           0         56 ALLOC_SPACE 
  0.0        0.274        0.274           8           0         34 MPI_Reduce() 
  0.0        0.004        0.004           8           0          0 MPI_Comm_size() 
  0.0        0.003        0.003           8           0          0 SETUP_SUBMATRIX_INFO 
  0.0        0.001        0.001           8           0          0 SETUP_PROC_INFO 
  0.0            0            0           8           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00925        5,238           1           1    5238254 .TAU application
100.0        0.238        5,238           1          96    5238245 CG 
 87.3        4,572        4,572           1           0    4572951 MPI_Finalize() 
 11.1        0.113          582           1           4     582306 INITIALIZE_MPI 
 11.1          581          581           1           0     581708 MPI_Init() 
  1.2           39           62          16        6864       3886 CONJ_GRAD 
  0.4            2           20           1        8401      20386 MAKEA 
  0.3            7           14        4200     39990.5          3 SPRNVC 
  0.2           11           11        2312           0          5 MPI_Wait() 
  0.2           10           10        2312           0          5 MPI_Send() 
  0.1            7            7     39990.5           0          0 ICNVRT 
  0.0            1            1           1           0       1931 SPARSE 
  0.0        0.923        0.923        2312           0          0 MPI_Irecv() 
  0.0        0.789        0.789        4200           0          0 VECSET 
  0.0        0.485        0.485           1           0        485 MPI_Bcast() 
  0.0       0.0569       0.0569           1           0         57 MPI_Barrier() 
  0.0       0.0558       0.0558           1           0         56 ALLOC_SPACE 
  0.0       0.0343       0.0343           1           0         34 MPI_Reduce() 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0     0.000375     0.000375           1           0          0 SETUP_SUBMATRIX_INFO 
  0.0     0.000125     0.000125           1           0          0 SETUP_PROC_INFO 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
