Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.171       45,824          32          32    1432005 .TAU application
100.0            2       45,824          32         960    1432000 FT 
 42.4       19,428       19,428          32           0     607131 MPI_Finalize() 
 37.7            2       17,266          32         353     539593 SETUP 
 37.5       17,166       17,166          32           0     536465 MPI_Init() 
 16.7        0.862        7,666         256        1024      29946 FFT 
  6.6          133        3,038       65536      491520         46 CFFTZ 
  6.3        2,905        2,905      491520           0          6 FFTZ2 
  6.1        0.476        2,802         256         256      10948 TRANSPOSE2_GLOBAL 
  6.1        2,802        2,802         256           0      10946 MPI_Alltoall() 
  5.4          503        2,497         512       49664       4877 CFFTS1 
  5.3        0.333        2,415         192         576      12581 TRANSPOSE_X_YZ 
  3.0          331        1,376         256       16640       5377 CFFTS2 
  3.0         0.49        1,375          64         192      21498 TRANSPOSE_XY_Z 
  1.7          763          763          64           0      11929 COMPUTE_INDEXMAP 
  1.3          583          583         256           0       2277 TRANSPOSE2_LOCAL 
  0.9          405          405         256           0       1582 TRANSPOSE2_FINISH 
  0.6          283          283         192           0       1476 EVOLVE 
  0.4            1          181         192         192        945 CHECKSUM 
  0.4          180          180         192           0        939 MPI_Reduce() 
  0.3          158          158          32           0       4950 MPI_Barrier() 
  0.2           70           70          64         128       1106 COMPUTE_INITIAL_CONDITIONS 
  0.1           35           35          32           0       1106 ALLOC_SPACE 
  0.1           31           31         160           0        196 MPI_Bcast() 
  0.1           30           30          64           0        480 MPI_Comm_split() 
  0.0            2            2          64          64         42 FFT_INIT 
  0.0        0.194        0.194         832           0          0 ILOG2 
  0.0        0.053        0.053         128           0          0 IPOW46 
  0.0        0.022        0.022          32           0          1 VERIFY 
  0.0        0.018        0.018          32           0          1 MPI_Comm_size() 
  0.0        0.011        0.011          32           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00534        1,432           1           1    1432005 .TAU application
100.0       0.0812        1,432           1          30    1432000 FT 
 42.4          607          607           1           0     607131 MPI_Finalize() 
 37.7       0.0837          539           1     11.0312     539593 SETUP 
 37.5          536          536           1           0     536465 MPI_Init() 
 16.7       0.0269          239           8          32      29946 FFT 
  6.6            4           94        2048       15360         46 CFFTZ 
  6.3           90           90       15360           0          6 FFTZ2 
  6.1       0.0149           87           8           8      10948 TRANSPOSE2_GLOBAL 
  6.1           87           87           8           0      10946 MPI_Alltoall() 
  5.4           15           78          16        1552       4877 CFFTS1 
  5.3       0.0104           75           6          18      12581 TRANSPOSE_X_YZ 
  3.0           10           43           8         520       5377 CFFTS2 
  3.0       0.0153           42           2           6      21498 TRANSPOSE_XY_Z 
  1.7           23           23           2           0      11929 COMPUTE_INDEXMAP 
  1.3           18           18           8           0       2277 TRANSPOSE2_LOCAL 
  0.9           12           12           8           0       1582 TRANSPOSE2_FINISH 
  0.6            8            8           6           0       1476 EVOLVE 
  0.4        0.034            5           6           6        945 CHECKSUM 
  0.4            5            5           6           0        939 MPI_Reduce() 
  0.3            4            4           1           0       4950 MPI_Barrier() 
  0.2            2            2           2           4       1106 COMPUTE_INITIAL_CONDITIONS 
  0.1            1            1           1           0       1106 ALLOC_SPACE 
  0.1        0.978        0.978           5           0        196 MPI_Bcast() 
  0.1        0.959        0.959           2           0        480 MPI_Comm_split() 
  0.0       0.0843       0.0848           2           2         42 FFT_INIT 
  0.0      0.00606      0.00606          26           0          0 ILOG2 
  0.0      0.00166      0.00166           4           0          0 IPOW46 
  0.0     0.000687     0.000687           1           0          1 VERIFY 
  0.0     0.000562     0.000562           1           0          1 MPI_Comm_size() 
  0.0     0.000344     0.000344           1           0          0 MPI_Comm_rank() 
  0.0     3.13E-05     3.13E-05     0.03125           0          1 SET_CLASS 
