Name,#Call
.TAU_application,1
FT,1
SETUP,1
MPI_Init(),1
MPI_Finalize(),1
FFT,8
MPI_Alltoall(),16
TRANSPOSE_X_Y,8
TRANSPOSE_X_Y_GLOBAL,8
CFFTS1,24
CFFTZ,2048
FFTZ2,15360
MPI_Comm_split(),2
TRANSPOSE_X_Z,8
TRANSPOSE_X_Z_GLOBAL,8
TRANSPOSE_X_Y_FINISH,8
CHECKSUM,6
COMPUTE_INDEXMAP,2
MPI_Reduce(),6
MPI_Barrier(),1
TRANSPOSE_X_Y_LOCAL,8
TRANSPOSE_X_Z_LOCAL,8
MPI_Bcast(),5
EVOLVE,6
TRANSPOSE_X_Z_FINISH,8
COMPUTE_INITIAL_CONDITIONS,2
FFT_INIT,2
ALLOC_SPACE,1
ILOG2,26
IPOW46,4
MPI_Comm_size(),1
MPI_Comm_rank(),1
VERIFY,1
SET_CLASS,0.00390625
