Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.012     1:21.869           2           2   40934706 .TAU application
100.0        0.463     1:21.869           2         144   40934700 FT 
 73.6        0.181     1:00.244          44         176    1369194 FFT 
 42.0        1,338       34,418      450560 3.69459E+06         76 CFFTZ 
 40.4       33,080       33,080 3.69459E+06           0          9 FFTZ2 
 36.9        6,316       30,232          88      270424     343549 CFFTS1 
 18.7       15,331       15,331           2           0    7665537 MPI_Finalize() 
 18.4        4,535       15,038          44      180268     341787 CFFTS2 
 16.6        0.116       13,549          40         120     338737 TRANSPOSE_X_YZ 
 10.4        8,494        8,494          44           0     193064 TRANSPOSE2_LOCAL 
  4.6        0.123        3,748          44          44      85183 TRANSPOSE2_GLOBAL 
  4.6        3,747        3,747          44           0      85180 MPI_Alltoall() 
  4.2        3,461        3,461          40           0      86549 EVOLVE 
  3.3        2,730        2,730          44           0      62055 TRANSPOSE2_FINISH 
  1.7        0.031        1,423           4          12     355984 TRANSPOSE_XY_Z 
  1.6        1,329        1,329           4           0     332409 COMPUTE_INDEXMAP 
  1.3        0.855        1,074           2          23     537462 SETUP 
  1.3        1,070        1,070           2           0     535096 MPI_Init() 
  0.4          303          303           4           8      75923 COMPUTE_INITIAL_CONDITIONS 
  0.1            1          119          40          40       2987 CHECKSUM 
  0.1          118          118          40           0       2956 MPI_Reduce() 
  0.0            3            3           2           0       1717 MPI_Barrier() 
  0.0            2            2           2           0       1369 ALLOC_SPACE 
  0.0        0.865        0.865          10           0         86 MPI_Bcast() 
  0.0        0.272        0.272           4           0         68 MPI_Comm_split() 
  0.0        0.189        0.189           4           4         47 FFT_INIT 
  0.0         0.03         0.03         136           0          0 ILOG2 
  0.0        0.021        0.021           2           0         10 VERIFY 
  0.0        0.003        0.003           8           0          0 IPOW46 
  0.0        0.001        0.001           2           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 
  0.0            0            0           2           0          0 MPI_Comm_size() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.006       40,934           1           1   40934706 .TAU application
100.0        0.232       40,934           1          72   40934700 FT 
 73.6       0.0905       30,122          22          88    1369194 FFT 
 42.0          669       17,209      225280  1.8473E+06         76 CFFTZ 
 40.4       16,540       16,540  1.8473E+06           0          9 FFTZ2 
 36.9        3,158       15,116          44      135212     343549 CFFTS1 
 18.7        7,665        7,665           1           0    7665537 MPI_Finalize() 
 18.4        2,267        7,519          22       90134     341787 CFFTS2 
 16.6        0.058        6,774          20          60     338737 TRANSPOSE_X_YZ 
 10.4        4,247        4,247          22           0     193064 TRANSPOSE2_LOCAL 
  4.6       0.0615        1,874          22          22      85183 TRANSPOSE2_GLOBAL 
  4.6        1,873        1,873          22           0      85180 MPI_Alltoall() 
  4.2        1,730        1,730          20           0      86549 EVOLVE 
  3.3        1,365        1,365          22           0      62055 TRANSPOSE2_FINISH 
  1.7       0.0155          711           2           6     355984 TRANSPOSE_XY_Z 
  1.6          664          664           2           0     332409 COMPUTE_INDEXMAP 
  1.3        0.427          537           1        11.5     537462 SETUP 
  1.3          535          535           1           0     535096 MPI_Init() 
  0.4          151          151           2           4      75923 COMPUTE_INITIAL_CONDITIONS 
  0.1        0.624           59          20          20       2987 CHECKSUM 
  0.1           59           59          20           0       2956 MPI_Reduce() 
  0.0            1            1           1           0       1717 MPI_Barrier() 
  0.0            1            1           1           0       1369 ALLOC_SPACE 
  0.0        0.432        0.432           5           0         86 MPI_Bcast() 
  0.0        0.136        0.136           2           0         68 MPI_Comm_split() 
  0.0       0.0945       0.0945           2           2         47 FFT_INIT 
  0.0        0.015        0.015          68           0          0 ILOG2 
  0.0       0.0105       0.0105           1           0         10 VERIFY 
  0.0       0.0015       0.0015           4           0          0 IPOW46 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_rank() 
  0.0       0.0005       0.0005         0.5           0          1 SET_CLASS 
  0.0            0            0           1           0          0 MPI_Comm_size() 
