Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.105     5:54.212          16          16   22138299 .TAU application
100.0            2     5:54.212          16        1152   22138293 FT 
 86.0            1     5:04.637         352        1408     865448 FFT 
 46.4       11,158     2:44.450 1.08134E+06  9.7321E+06        152 CFFTZ 
 43.3     2:33.292     2:33.292  9.7321E+06           0         16 FFTZ2 
 39.0       29,014     2:18.263         704      721600     196397 CFFTS1 
 20.9       18,730     1:13.932         352      360800     210034 CFFTS2 
 20.6        0.942     1:13.051         320         960     228286 TRANSPOSE_X_YZ 
 12.2            1       43,381         352         352     123244 TRANSPOSE2_GLOBAL 
 12.2       43,380       43,380         352           0     123240 MPI_Alltoall() 
 10.0       35,519       35,519         352           0     100907 TRANSPOSE2_LOCAL 
  5.5        0.383       19,389          32          96     605907 TRANSPOSE_XY_Z 
  4.7       16,744       16,744         320           0      52326 EVOLVE 
  3.8       13,538       13,538         352           0      38461 TRANSPOSE2_FINISH 
  3.1       10,951       10,951          32           0     342238 COMPUTE_INDEXMAP 
  2.9       10,193       10,193          16           0     637121 MPI_Finalize() 
  2.4            1        8,653          16         177     540868 SETUP 
  2.4        8,595        8,595          16           0     537240 MPI_Init() 
  0.5            3        1,638         320         320       5119 CHECKSUM 
  0.5        1,634        1,634         320           0       5109 MPI_Reduce() 
  0.3        1,238        1,238          32          64      38704 COMPUTE_INITIAL_CONDITIONS 
  0.0          149          149          16           0       9369 MPI_Barrier() 
  0.0           27           27          16           0       1693 ALLOC_SPACE 
  0.0           15           15          80           0        194 MPI_Bcast() 
  0.0           13           13          32           0        426 MPI_Comm_split() 
  0.0            2            2          32          32         67 FFT_INIT 
  0.0        0.295        0.295        1088           0          0 ILOG2 
  0.0        0.022        0.022          16           0          1 VERIFY 
  0.0        0.019        0.019          64           0          0 IPOW46 
  0.0        0.005        0.005          16           0          0 MPI_Comm_rank() 
  0.0        0.005        0.005          16           0          0 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00656       22,138           1           1   22138299 .TAU application
100.0        0.152       22,138           1          72   22138293 FT 
 86.0       0.0982       19,039          22          88     865448 FFT 
 46.4          697       10,278       67584      608256        152 CFFTZ 
 43.3        9,580        9,580      608256           0         16 FFTZ2 
 39.0        1,813        8,641          44       45100     196397 CFFTS1 
 20.9        1,170        4,620          22       22550     210034 CFFTS2 
 20.6       0.0589        4,565          20          60     228286 TRANSPOSE_X_YZ 
 12.2       0.0671        2,711          22          22     123244 TRANSPOSE2_GLOBAL 
 12.2        2,711        2,711          22           0     123240 MPI_Alltoall() 
 10.0        2,219        2,219          22           0     100907 TRANSPOSE2_LOCAL 
  5.5       0.0239        1,211           2           6     605907 TRANSPOSE_XY_Z 
  4.7        1,046        1,046          20           0      52326 EVOLVE 
  3.8          846          846          22           0      38461 TRANSPOSE2_FINISH 
  3.1          684          684           2           0     342238 COMPUTE_INDEXMAP 
  2.9          637          637           1           0     637121 MPI_Finalize() 
  2.4        0.112          540           1     11.0625     540868 SETUP 
  2.4          537          537           1           0     537240 MPI_Init() 
  0.5          0.2          102          20          20       5119 CHECKSUM 
  0.5          102          102          20           0       5109 MPI_Reduce() 
  0.3           77           77           2           4      38704 COMPUTE_INITIAL_CONDITIONS 
  0.0            9            9           1           0       9369 MPI_Barrier() 
  0.0            1            1           1           0       1693 ALLOC_SPACE 
  0.0        0.969        0.969           5           0        194 MPI_Bcast() 
  0.0        0.853        0.853           2           0        426 MPI_Comm_split() 
  0.0        0.134        0.134           2           2         67 FFT_INIT 
  0.0       0.0184       0.0184          68           0          0 ILOG2 
  0.0      0.00137      0.00137           1           0          1 VERIFY 
  0.0      0.00119      0.00119           4           0          0 IPOW46 
  0.0     0.000313     0.000313           1           0          0 MPI_Comm_rank() 
  0.0     0.000313     0.000313           1           0          0 MPI_Comm_size() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
