Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
RHS,253
JACLD,482422
JACU,482422
BLTS,482422
BUTS,482422
MPI_Finalize(),1
INIT_COMM,1
MPI_Init(),1
EXCHANGE_1,62248
MPI_Recv(),38905
EXCHANGE_3,508
MPI_Wait(),637.25
SETIV,2
EXACT,393427
MPI_Send(),39542.2
ERHS,1
ERROR,1
SETBV,2
MPI_Allreduce(),10
MPI_Irecv(),637.25
L2NORM,4
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
PINTGR,1
ALLOC_SPACE,1
MPI_Barrier(),2
VERIFY,0.125
EXCHANGE_4,1
PROC_GRID,1
EXCHANGE_5,1
SETCOEFF,1
EXCHANGE_6,0.5
MPI_Comm_size(),1
SUBDOMAIN,1
NEIGHBORS,1
MPI_Comm_rank(),1
SET_CLASS,0.125
ISQRT2,1
