Name,#Call
.TAU_application,1
APPLU,1
SSOR,2
EXCHANGE_1,100400
MPI_Recv(),81575
RHS,253
JACLD,627500
JACU,627500
BLTS,627500
BUTS,627500
MPI_Finalize(),1
EXCHANGE_3,508
INIT_COMM,1
MPI_Init(),1
MPI_Send(),82402.8
MPI_Wait(),827.75
SETIV,2
EXACT,410152
ERHS,1
MPI_Allreduce(),10
L2NORM,4
ERROR,1
MPI_Irecv(),827.75
SETBV,2
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
PINTGR,1
ALLOC_SPACE,1
MPI_Barrier(),2
EXCHANGE_4,1
VERIFY,0.03125
EXCHANGE_5,0.5
EXCHANGE_6,0.25
PROC_GRID,1
SETCOEFF,1
MPI_Comm_size(),1
ISQRT2,1
NEIGHBORS,1
SUBDOMAIN,1
MPI_Comm_rank(),1
SET_CLASS,0.03125
