Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.045        9,110           8           8    1138762 .TAU application
100.0        0.475        9,110           8         137    1138757 APPLU 
 52.5        4,786        4,786           8           0     598355 MPI_Finalize() 
 45.4        0.374        4,131           8          24     516495 INIT_COMM 
 45.4        4,131        4,131           8           0     516447 MPI_Init() 
  1.9           16          173          16       98408      10860 SSOR 
  0.9            7           82       16320       20400          5 EXCHANGE_1 
  0.8           68           68       10200           0          7 MPI_Recv() 
  0.3           10           29         424         848         69 RHS 
  0.2            2           21         864        3240         25 EXCHANGE_3 
  0.2           16           16        1098           0         15 MPI_Wait() 
  0.1           12           12       20400           0          1 JACLD 
  0.1           12           12       20400           0          1 JACU 
  0.1            9            9       20400           0          0 BLTS 
  0.1            9            9       20400           0          0 BUTS 
  0.1            8            8       11298           0          1 MPI_Send() 
  0.1        0.653            7           8           9        896 READ_INPUT 
  0.1        0.087            6           8          80        815 BCAST_INPUTS 
  0.1            6            6          80           0         80 MPI_Bcast() 
  0.0            1            4          16       12000        280 SETIV 
  0.0            3            3       14728           0          0 EXACT 
  0.0        0.634            3           8          16        396 ERHS 
  0.0            1            1          80           0         24 MPI_Allreduce() 
  0.0        0.053            1          32          32         33 L2NORM 
  0.0        0.282        0.818          16        1728         51 SETBV 
  0.0        0.196        0.645           8        1008         81 ERROR 
  0.0        0.557        0.557        1098           0          1 MPI_Irecv() 
  0.0        0.082        0.333           8          44         42 PINTGR 
  0.0        0.217        0.217           8           0         27 ALLOC_SPACE 
  0.0        0.153        0.153           1           0        153 VERIFY 
  0.0        0.119        0.119          16           0          7 MPI_Barrier() 
  0.0        0.009        0.063           8          30          8 EXCHANGE_4 
  0.0        0.026        0.028           8           8          4 PROC_GRID 
  0.0        0.007        0.024           8          18          3 EXCHANGE_5 
  0.0        0.014        0.014           8           0          2 SETCOEFF 
  0.0        0.002        0.012           4           6          3 EXCHANGE_6 
  0.0        0.005        0.005           8           0          1 MPI_Comm_rank() 
  0.0        0.003        0.003           8           0          0 MPI_Comm_size() 
  0.0        0.003        0.003           8           0          0 NEIGHBORS 
  0.0        0.002        0.002           8           0          0 ISQRT2 
  0.0        0.002        0.002           8           0          0 SUBDOMAIN 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00562        1,138           1           1    1138762 .TAU application
100.0       0.0594        1,138           1      17.125    1138757 APPLU 
 52.5          598          598           1           0     598355 MPI_Finalize() 
 45.4       0.0467          516           1           3     516495 INIT_COMM 
 45.4          516          516           1           0     516447 MPI_Init() 
  1.9            2           21           2       12301      10860 SSOR 
  0.9        0.924           10        2040        2550          5 EXCHANGE_1 
  0.8            8            8        1275           0          7 MPI_Recv() 
  0.3            1            3          53         106         69 RHS 
  0.2        0.301            2         108         405         25 EXCHANGE_3 
  0.2            2            2      137.25           0         15 MPI_Wait() 
  0.1            1            1        2550           0          1 JACLD 
  0.1            1            1        2550           0          1 JACU 
  0.1            1            1        2550           0          0 BLTS 
  0.1            1            1        2550           0          0 BUTS 
  0.1            1            1     1412.25           0          1 MPI_Send() 
  0.1       0.0816        0.896           1       1.125        896 READ_INPUT 
  0.1       0.0109        0.815           1          10        815 BCAST_INPUTS 
  0.1        0.804        0.804          10           0         80 MPI_Bcast() 
  0.0        0.242        0.559           2        1500        280 SETIV 
  0.0        0.409        0.409        1841           0          0 EXACT 
  0.0       0.0793        0.396           1           2        396 ERHS 
  0.0        0.237        0.237          10           0         24 MPI_Allreduce() 
  0.0      0.00662         0.13           4           4         33 L2NORM 
  0.0       0.0352        0.102           2         216         51 SETBV 
  0.0       0.0245       0.0806           1         126         81 ERROR 
  0.0       0.0696       0.0696      137.25           0          1 MPI_Irecv() 
  0.0       0.0103       0.0416           1         5.5         42 PINTGR 
  0.0       0.0271       0.0271           1           0         27 ALLOC_SPACE 
  0.0       0.0191       0.0191       0.125           0        153 VERIFY 
  0.0       0.0149       0.0149           2           0          7 MPI_Barrier() 
  0.0      0.00112      0.00788           1        3.75          8 EXCHANGE_4 
  0.0      0.00325       0.0035           1           1          4 PROC_GRID 
  0.0     0.000875        0.003           1        2.25          3 EXCHANGE_5 
  0.0      0.00175      0.00175           1           0          2 SETCOEFF 
  0.0      0.00025       0.0015         0.5        0.75          3 EXCHANGE_6 
  0.0     0.000625     0.000625           1           0          1 MPI_Comm_rank() 
  0.0     0.000375     0.000375           1           0          0 MPI_Comm_size() 
  0.0     0.000375     0.000375           1           0          0 NEIGHBORS 
  0.0      0.00025      0.00025           1           0          0 ISQRT2 
  0.0      0.00025      0.00025           1           0          0 SUBDOMAIN 
  0.0     0.000125     0.000125       0.125           0          1 SET_CLASS 
