Name,#Call
.TAU_application,1
APPLU,1
MPI_Finalize(),1
SSOR,2
INIT_COMM,1
MPI_Init(),1
RHS,303
JACLD,144630
JACU,144630
BLTS,144630
BUTS,144630
EXCHANGE_1,37324
MPI_Recv(),18662
EXCHANGE_3,608
MPI_Wait(),610
SETIV,2
MPI_Send(),19272
EXACT,100088
ERHS,1
ERROR,1
SETBV,2
READ_INPUT,1
BCAST_INPUTS,1
MPI_Bcast(),10
MPI_Allreduce(),10
L2NORM,4
MPI_Irecv(),610
PINTGR,1
VERIFY,0.25
ALLOC_SPACE,1
MPI_Barrier(),2
EXCHANGE_4,1
PROC_GRID,1
EXCHANGE_5,1
EXCHANGE_6,1
SETCOEFF,1
MPI_Comm_size(),1
MPI_Comm_rank(),1
NEIGHBORS,1
SET_CLASS,0.25
ISQRT2,1
SUBDOMAIN,1
