Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0         0.03       37,913           4           4    9478353 .TAU application
100.0        0.312       37,913           4          69    9478345 APPLU 
 78.2       29,640       29,640           4           0    7410116 MPI_Finalize() 
 15.7          329        5,939           8 2.46463E+06     742464 SSOR 
  5.8        0.186        2,213           4          12     553345 INIT_COMM 
  5.8        2,213        2,213           4           0     553298 MPI_Init() 
  3.5          957        1,314        1212        2424       1085 RHS 
  2.6          987          987      578522           0          2 JACLD 
  2.6          968          968      578522           0          2 JACU 
  2.4          900          900      578522           0          2 BLTS 
  2.4          891          891      578522           0          2 BUTS 
  1.4           50          544      149296      149296          4 EXCHANGE_1 
  1.2          448          448       74648           0          6 MPI_Recv() 
  1.0           39          362        2432        7296        149 EXCHANGE_3 
  0.8          288          288        2440           0        118 MPI_Wait() 
  0.2           36           91           8      357492      11404 SETIV 
  0.2           78           78       77088           0          1 MPI_Send() 
  0.2           61           61      400351           0          0 EXACT 
  0.0            6           11           4           8       2984 ERHS 
  0.0            3            8           4       29795       2082 ERROR 
  0.0            1            4           8       13068        563 SETBV 
  0.0        0.644            2           4           5        734 READ_INPUT 
  0.0        0.032            2           4          40        572 BCAST_INPUTS 
  0.0            2            2          40           0         56 MPI_Bcast() 
  0.0            2            2          40           0         55 MPI_Allreduce() 
  0.0        0.312            1          16          16        104 L2NORM 
  0.0            1            1        2440           0          1 MPI_Irecv() 
  0.0        0.096        0.229           4          24         57 PINTGR 
  0.0        0.205        0.205           1           0        205 VERIFY 
  0.0        0.137        0.137           4           0         34 ALLOC_SPACE 
  0.0        0.032        0.032           8           0          4 MPI_Barrier() 
  0.0        0.002        0.015           4          12          4 EXCHANGE_4 
  0.0        0.009        0.009           4           4          2 PROC_GRID 
  0.0        0.001        0.008           4           6          2 EXCHANGE_5 
  0.0        0.003        0.007           4           6          2 EXCHANGE_6 
  0.0        0.004        0.004           4           0          1 SETCOEFF 
  0.0        0.003        0.003           4           0          1 MPI_Comm_size() 
  0.0        0.002        0.002           4           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           4           0          0 NEIGHBORS 
  0.0        0.001        0.001           1           0          1 SET_CLASS 
  0.0            0            0           4           0          0 ISQRT2 
  0.0            0            0           4           0          0 SUBDOMAIN 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0075        9,478           1           1    9478353 .TAU application
100.0        0.078        9,478           1       17.25    9478345 APPLU 
 78.2        7,410        7,410           1           0    7410116 MPI_Finalize() 
 15.7           82        1,484           2      616157     742464 SSOR 
  5.8       0.0465          553           1           3     553345 INIT_COMM 
  5.8          553          553           1           0     553298 MPI_Init() 
  3.5          239          328         303         606       1085 RHS 
  2.6          246          246      144630           0          2 JACLD 
  2.6          242          242      144630           0          2 JACU 
  2.4          225          225      144630           0          2 BLTS 
  2.4          222          222      144630           0          2 BUTS 
  1.4           12          136       37324       37324          4 EXCHANGE_1 
  1.2          112          112       18662           0          6 MPI_Recv() 
  1.0            9           90         608        1824        149 EXCHANGE_3 
  0.8           72           72         610           0        118 MPI_Wait() 
  0.2            9           22           2       89373      11404 SETIV 
  0.2           19           19       19272           0          1 MPI_Send() 
  0.2           15           15      100088           0          0 EXACT 
  0.0            1            2           1           2       2984 ERHS 
  0.0        0.823            2           1     7448.75       2082 ERROR 
  0.0        0.339            1           2        3267        563 SETBV 
  0.0        0.161        0.734           1        1.25        734 READ_INPUT 
  0.0        0.008        0.572           1          10        572 BCAST_INPUTS 
  0.0        0.564        0.564          10           0         56 MPI_Bcast() 
  0.0        0.548        0.548          10           0         55 MPI_Allreduce() 
  0.0        0.078        0.416           4           4        104 L2NORM 
  0.0        0.306        0.306         610           0          1 MPI_Irecv() 
  0.0        0.024       0.0573           1           6         57 PINTGR 
  0.0       0.0512       0.0512        0.25           0        205 VERIFY 
  0.0       0.0343       0.0343           1           0         34 ALLOC_SPACE 
  0.0        0.008        0.008           2           0          4 MPI_Barrier() 
  0.0       0.0005      0.00375           1           3          4 EXCHANGE_4 
  0.0      0.00225      0.00225           1           1          2 PROC_GRID 
  0.0      0.00025        0.002           1         1.5          2 EXCHANGE_5 
  0.0      0.00075      0.00175           1         1.5          2 EXCHANGE_6 
  0.0        0.001        0.001           1           0          1 SETCOEFF 
  0.0      0.00075      0.00075           1           0          1 MPI_Comm_size() 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_rank() 
  0.0      0.00025      0.00025           1           0          0 NEIGHBORS 
  0.0      0.00025      0.00025        0.25           0          1 SET_CLASS 
  0.0            0            0           1           0          0 ISQRT2 
  0.0            0            0           1           0          0 SUBDOMAIN 
