Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.065       12,432           8           8    1554082 .TAU application
100.0            2       12,432           8         296    1554074 MG_MPI 
 44.4        5,514        5,514           8           0     689309 MPI_Finalize() 
 36.0        4,470        4,470           8           0     558866 MPI_Init() 
 10.4        0.906        1,288          40        1440      32217 MG3P 
  8.8          806        1,094         336         336       3256 RESID 
  4.2            2          516         952       17136        543 COMM3 
  3.5          298          433         320         320       1355 PSINV 
  2.8           71          349        5712        5712         61 GIVE3 
  2.7          155          334          16        4954      20913 ZRAN3 
  2.2          278          278        5712           0         49 MPI_Send() 
  1.7          153          213         280         280        764 RPRJ3 
  1.4          172          172         312           0        552 ZERO3 
  1.1          137          137         280         280        490 INTERP 
  0.9           95          110          32          64       3448 NORM2U3 
  0.7           88           93        5712        5712         16 READY 
  0.6           74           74          48           0       1548 MPI_Barrier() 
  0.6           46           70        5712        5712         12 TAKE3 
  0.2           24           24        5712           0          4 MPI_Wait() 
  0.1           18           18         704           0         26 MPI_Allreduce() 
  0.1            8            8           8           0       1061 ALLOC_SPACE 
  0.0            6            6          56           0        109 MPI_Bcast() 
  0.0            4            4        5712           0          1 MPI_Irecv() 
  0.0        0.785        0.785        4202           0          0 BUBBLE 
  0.0        0.134        0.134           8           0         17 MPI_Reduce() 
  0.0        0.087        0.087         280           0          0 COMM3_EX 
  0.0        0.037        0.037          16           0          2 SETUP 
  0.0        0.025        0.025          48           0          1 POWER 
  0.0        0.005        0.005           8           0          1 MPI_Comm_size() 
  0.0        0.001        0.001           8           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00813        1,554           1           1    1554082 .TAU application
100.0        0.266        1,554           1          37    1554074 MG_MPI 
 44.4          689          689           1           0     689309 MPI_Finalize() 
 36.0          558          558           1           0     558866 MPI_Init() 
 10.4        0.113          161           5         180      32217 MG3P 
  8.8          100          136          42          42       3256 RESID 
  4.2        0.348           64         119        2142        543 COMM3 
  3.5           37           54          40          40       1355 PSINV 
  2.8            8           43         714         714         61 GIVE3 
  2.7           19           41           2      619.25      20913 ZRAN3 
  2.2           34           34         714           0         49 MPI_Send() 
  1.7           19           26          35          35        764 RPRJ3 
  1.4           21           21          39           0        552 ZERO3 
  1.1           17           17          35          35        490 INTERP 
  0.9           11           13           4           8       3448 NORM2U3 
  0.7           11           11         714         714         16 READY 
  0.6            9            9           6           0       1548 MPI_Barrier() 
  0.6            5            8         714         714         12 TAKE3 
  0.2            3            3         714           0          4 MPI_Wait() 
  0.1            2            2          88           0         26 MPI_Allreduce() 
  0.1            1            1           1           0       1061 ALLOC_SPACE 
  0.0         0.76         0.76           7           0        109 MPI_Bcast() 
  0.0        0.523        0.523         714           0          1 MPI_Irecv() 
  0.0       0.0981       0.0981      525.25           0          0 BUBBLE 
  0.0       0.0168       0.0168           1           0         17 MPI_Reduce() 
  0.0       0.0109       0.0109          35           0          0 COMM3_EX 
  0.0      0.00462      0.00462           2           0          2 SETUP 
  0.0      0.00313      0.00313           6           0          1 POWER 
  0.0     0.000625     0.000625           1           0          1 MPI_Comm_size() 
  0.0     0.000125     0.000125           1           0          0 MPI_Comm_rank() 
