Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            1     5:29.615         256         256    1287560 .TAU application
100.0           26     5:29.613         256       17664    1287553 MG_MPI 
 56.6     3:06.672     3:06.672         256           0     729190 MPI_Init() 
 36.7     2:00.954     2:00.954         256           0     472478 MPI_Finalize() 
  4.8           71       15,963        5376      193536       2969 MG3P 
  4.0          289       13,131      124672 1.86139E+06        105 COMM3 
  2.5        8,381        8,381      634464           0         13 MPI_Wait() 
  2.4          496        7,821      612960      612960         13 TAKE3 
  2.3        2,403        7,612       43520       43520        175 RESID 
  1.4        1,281        4,740       43008       43008        110 PSINV 
  1.4          436        4,725       37632       37632        126 RPRJ3 
  0.8        2,264        2,552      634464      634464          4 READY 
  0.8          507        2,544      612960      612960          4 GIVE3 
  0.6        2,053        2,053      634464           0          3 MPI_Send() 
  0.5          447        1,637       37632       37632         44 INTERP 
  0.5          144        1,634         512      124128       3193 ZRAN3 
  0.4           17        1,189       37632       64512         32 COMM3_EX 
  0.3        1,093        1,093        1536           0        712 MPI_Barrier() 
  0.3            8        1,064       21504       21504         50 TAKE3_EX 
  0.3          864          864        1792           0        483 MPI_Bcast() 
  0.2          524          524       22528           0         23 MPI_Allreduce() 
  0.1          287          287      634464           0          0 MPI_Irecv() 
  0.1          261          261       61168           0          4 ZERO3 
  0.1           88          243        1024        2048        238 NORM2U3 
  0.0            8           25       21504       21504          1 GIVE3_EX 
  0.0           17           17      100064           0          0 BUBBLE 
  0.0            6            6         256           0         27 ALLOC_SPACE 
  0.0            2            2         256           0          9 MPI_Reduce() 
  0.0            1            1         512           0          2 SETUP 
  0.0        0.557        0.557        1536           0          0 POWER 
  0.0        0.125        0.125         256           0          0 MPI_Comm_size() 
  0.0        0.071        0.071         256           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0073        1,287           1           1    1287560 .TAU application
100.0        0.102        1,287           1          69    1287553 MG_MPI 
 56.6          729          729           1           0     729190 MPI_Init() 
 36.7          472          472           1           0     472478 MPI_Finalize() 
  4.8        0.278           62          21         756       2969 MG3P 
  4.0            1           51         487     7271.06        105 COMM3 
  2.5           32           32     2478.38           0         13 MPI_Wait() 
  2.4            1           30     2394.38     2394.38         13 TAKE3 
  2.3            9           29         170         170        175 RESID 
  1.4            5           18         168         168        110 PSINV 
  1.4            1           18         147         147        126 RPRJ3 
  0.8            8            9     2478.38     2478.38          4 READY 
  0.8            1            9     2394.38     2394.38          4 GIVE3 
  0.6            8            8     2478.38           0          3 MPI_Send() 
  0.5            1            6         147         147         44 INTERP 
  0.5        0.563            6           2     484.875       3193 ZRAN3 
  0.4       0.0691            4         147         252         32 COMM3_EX 
  0.3            4            4           6           0        712 MPI_Barrier() 
  0.3        0.034            4          84          84         50 TAKE3_EX 
  0.3            3            3           7           0        483 MPI_Bcast() 
  0.2            2            2          88           0         23 MPI_Allreduce() 
  0.1            1            1     2478.38           0          0 MPI_Irecv() 
  0.1            1            1     238.938           0          4 ZERO3 
  0.1        0.344         0.95           4           8        238 NORM2U3 
  0.0       0.0328        0.099          84          84          1 GIVE3_EX 
  0.0       0.0682       0.0682     390.875           0          0 BUBBLE 
  0.0       0.0269       0.0269           1           0         27 ALLOC_SPACE 
  0.0      0.00936      0.00936           1           0          9 MPI_Reduce() 
  0.0      0.00417      0.00417           2           0          2 SETUP 
  0.0      0.00218      0.00218           6           0          0 POWER 
  0.0     0.000488     0.000488           1           0          0 MPI_Comm_size() 
  0.0     0.000277     0.000277           1           0          0 MPI_Comm_rank() 
