Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.158     1:28.544          16          16    5534014 .TAU application
100.0            3     1:28.544          16        1104    5534004 MG_MPI 
 53.9            9       47,767         336       13776     142164 MG3P 
 39.3       24,644       34,807        3056        3056      11390 RESID 
 19.6           25       17,315        8800      152688       1968 COMM3 
 17.1       10,800       15,184        3024        3024       5021 PSINV 
 13.1       11,605       11,605          16           0     725360 MPI_Finalize() 
 11.9        1,428       10,524       50784       50784        207 GIVE3 
 10.3        9,095        9,095       51120           0        178 MPI_Send() 
  9.8        8,635        8,635          16           0     539741 MPI_Init() 
  9.0        5,406        7,969        2688        2688       2965 RPRJ3 
  6.4        5,517        5,657        2688        2688       2105 INTERP 
  3.9        1,049        3,448       50784       50784         68 TAKE3 
  3.8        3,287        3,333       51120       51120         65 READY 
  2.8        2,521        2,521       51120           0         49 MPI_Wait() 
  2.7        1,187        2,421          32       10838      75682 ZRAN3 
  2.1        1,817        1,817        3088           0        589 ZERO3 
  1.1          709          933          64         128      14593 NORM2U3 
  0.5          476          476          96           0       4963 MPI_Barrier() 
  0.3          234          234        1408           0        166 MPI_Allreduce() 
  0.2            1          139        2688        1008         52 COMM3_EX 
  0.1        0.176          122         336         336        363 TAKE3_EX 
  0.1           46           46       51120           0          1 MPI_Irecv() 
  0.0           26           26          16           0       1632 ALLOC_SPACE 
  0.0           11           11         112           0        105 MPI_Bcast() 
  0.0            1            1        9334           0          0 BUBBLE 
  0.0        0.155        0.425         336         336          1 GIVE3_EX 
  0.0        0.194        0.194          16           0         12 MPI_Reduce() 
  0.0        0.072        0.072          32           0          2 SETUP 
  0.0        0.055        0.055          96           0          1 POWER 
  0.0        0.009        0.009          16           0          1 MPI_Comm_size() 
  0.0        0.002        0.002          16           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00988        5,534           1           1    5534014 .TAU application
100.0        0.246        5,534           1          69    5534004 MG_MPI 
 53.9        0.564        2,985          21         861     142164 MG3P 
 39.3        1,540        2,175         191         191      11390 RESID 
 19.6            1        1,082         550        9543       1968 COMM3 
 17.1          675          949         189         189       5021 PSINV 
 13.1          725          725           1           0     725360 MPI_Finalize() 
 11.9           89          657        3174        3174        207 GIVE3 
 10.3          568          568        3195           0        178 MPI_Send() 
  9.8          539          539           1           0     539741 MPI_Init() 
  9.0          337          498         168         168       2965 RPRJ3 
  6.4          344          353         168         168       2105 INTERP 
  3.9           65          215        3174        3174         68 TAKE3 
  3.8          205          208        3195        3195         65 READY 
  2.8          157          157        3195           0         49 MPI_Wait() 
  2.7           74          151           2     677.375      75682 ZRAN3 
  2.1          113          113         193           0        589 ZERO3 
  1.1           44           58           4           8      14593 NORM2U3 
  0.5           29           29           6           0       4963 MPI_Barrier() 
  0.3           14           14          88           0        166 MPI_Allreduce() 
  0.2       0.0796            8         168          63         52 COMM3_EX 
  0.1        0.011            7          21          21        363 TAKE3_EX 
  0.1            2            2        3195           0          1 MPI_Irecv() 
  0.0            1            1           1           0       1632 ALLOC_SPACE 
  0.0        0.737        0.737           7           0        105 MPI_Bcast() 
  0.0       0.0997       0.0997     583.375           0          0 BUBBLE 
  0.0      0.00969       0.0266          21          21          1 GIVE3_EX 
  0.0       0.0121       0.0121           1           0         12 MPI_Reduce() 
  0.0       0.0045       0.0045           2           0          2 SETUP 
  0.0      0.00344      0.00344           6           0          1 POWER 
  0.0     0.000562     0.000562           1           0          1 MPI_Comm_size() 
  0.0     0.000125     0.000125           1           0          0 MPI_Comm_rank() 
