Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.511    19:42.112          64          64   18470505 .TAU application
100.0           16    19:42.111          64        8256   18470497 MG_MPI 
 69.0           78    13:36.038        3264      150144     250012 MG3P 
 48.7     6:48.155     9:35.620       32768       32768      17567 RESID 
 23.8          256     4:40.987       94912 1.61131E+06       2961 COMM3 
 22.3     3:09.150     4:23.981       32640       32640       8088 PSINV 
 14.6       22,033     2:52.692      535200      535200        323 GIVE3 
 12.7     2:30.663     2:30.663      544992           0        276 MPI_Send() 
 11.2     1:35.710     2:12.427       29376       29376       4508 RPRJ3 
  7.9     1:32.048     1:33.775       29376       29376       3192 INTERP 
  6.4       18,374     1:15.082      535200      535200        140 TAKE3 
  4.9       57,964       57,964      544992           0        106 MPI_Wait() 
  3.1       36,938       36,938          64           0     577159 MPI_Finalize() 
  3.1       36,704       36,704          64           0     573502 MPI_Init() 
  2.8       33,002       33,397      544992      544992         61 READY 
  1.7       19,591       19,591       35344           0        554 ZERO3 
  1.6        8,800       19,494         128       45220     152301 ZRAN3 
  0.6        5,462        7,426         256         512      29008 NORM2U3 
  0.4        4,542        4,542         384           0      11830 MPI_Barrier() 
  0.2        2,023        2,023        5632           0        359 MPI_Allreduce() 
  0.1           13        1,726       29376       29376         59 COMM3_EX 
  0.1            3        1,260        9792        9792        129 TAKE3_EX 
  0.0          394          394      544992           0          1 MPI_Irecv() 
  0.0          107          107          64           0       1687 ALLOC_SPACE 
  0.0           59           59         448           0        133 MPI_Bcast() 
  0.0            4            9        9792        9792          1 GIVE3_EX 
  0.0            6            6       39204           0          0 BUBBLE 
  0.0         0.78         0.78          64           0         12 MPI_Reduce() 
  0.0        0.326        0.326         128           0          3 SETUP 
  0.0        0.223        0.223         384           0          1 POWER 
  0.0        0.034        0.034          64           0          1 MPI_Comm_size() 
  0.0        0.022        0.022          64           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00798       18,470           1           1   18470505 .TAU application
100.0        0.256       18,470           1         129   18470497 MG_MPI 
 69.0            1       12,750          51        2346     250012 MG3P 
 48.7        6,377        8,994         512         512      17567 RESID 
 23.8            4        4,390        1483     25176.8       2961 COMM3 
 22.3        2,955        4,124         510         510       8088 PSINV 
 14.6          344        2,698      8362.5      8362.5        323 GIVE3 
 12.7        2,354        2,354      8515.5           0        276 MPI_Send() 
 11.2        1,495        2,069         459         459       4508 RPRJ3 
  7.9        1,438        1,465         459         459       3192 INTERP 
  6.4          287        1,173      8362.5      8362.5        140 TAKE3 
  4.9          905          905      8515.5           0        106 MPI_Wait() 
  3.1          577          577           1           0     577159 MPI_Finalize() 
  3.1          573          573           1           0     573502 MPI_Init() 
  2.8          515          521      8515.5      8515.5         61 READY 
  1.7          306          306      552.25           0        554 ZERO3 
  1.6          137          304           2     706.562     152301 ZRAN3 
  0.6           85          116           4           8      29008 NORM2U3 
  0.4           70           70           6           0      11830 MPI_Barrier() 
  0.2           31           31          88           0        359 MPI_Allreduce() 
  0.1        0.218           26         459         459         59 COMM3_EX 
  0.1       0.0616           19         153         153        129 TAKE3_EX 
  0.0            6            6      8515.5           0          1 MPI_Irecv() 
  0.0            1            1           1           0       1687 ALLOC_SPACE 
  0.0        0.929        0.929           7           0        133 MPI_Bcast() 
  0.0       0.0659        0.148         153         153          1 GIVE3_EX 
  0.0        0.104        0.104     612.562           0          0 BUBBLE 
  0.0       0.0122       0.0122           1           0         12 MPI_Reduce() 
  0.0      0.00509      0.00509           2           0          3 SETUP 
  0.0      0.00348      0.00348           6           0          1 POWER 
  0.0     0.000531     0.000531           1           0          1 MPI_Comm_size() 
  0.0     0.000344     0.000344           1           0          0 MPI_Comm_rank() 
