Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.094     1:06.968          16          16    4185555 .TAU application
100.0            5     1:06.968          16        6705    4185549 MPSP 
 71.5           14       47,866        6416       38496       7461 ADI 
 21.2        1,258       14,216        6432       90048       2210 COPY_FACES 
 16.9        3,821       11,296        6416      166816       1761 Y_SOLVE 
 16.5        3,549       11,016        6416      166816       1717 Z_SOLVE 
 15.4       10,334       10,334        6432           0       1607 COMPUTE_RHS 
 15.2       10,206       10,206      121920           0         84 MPI_Waitall() 
 14.9        5,125        9,971        6416      166816       1554 X_SOLVE 
 13.6        9,113        9,113          16           0     569587 MPI_Finalize() 
 12.3        0.457        8,254          16          80     515887 SETUP_MPI 
 12.3        8,241        8,241          16           0     515114 MPI_Init() 
  5.6        3,750        3,750       25664           0        146 LHSZ 
  5.1        3,415        3,415       25664           0        133 LHSX 
  4.0        2,658        2,658       25664           0        104 LHSY 
  1.5          451          985          32 3.19488E+06      30811 INITIALIZE 
  1.5          985          985      154080           0          6 MPI_Isend() 
  1.2          786          786       25664           0         31 TZETAR 
  1.1          721          721        6416           0        112 ADD 
  1.1          718          718 4.33346E+06           0          0 EXACT_SOLUTION 
  1.0          660          660        6416           0        103 TXINVR 
  0.5          161          310          16      876432      19376 EXACT_RHS 
  0.4          294          294          32           0       9214 MPI_Barrier() 
  0.4          239          239       25664           0          9 PINVR 
  0.3          228          228       25664           0          9 NINVR 
  0.2          142          142      154080           0          1 MPI_Irecv() 
  0.2        0.225          103          16          48       6466 VERIFY 
  0.1           30           68          16      262160       4309 ERROR_NORM 
  0.0           22           22          16           0       1393 LHSINIT 
  0.0           11           11          32           0        372 MPI_Comm_dup() 
  0.0           10           10          64           0        166 MPI_Bcast() 
  0.0            5            5          32           0        158 MPI_Allreduce() 
  0.0         0.54            3          16          16        192 RHS_NORM 
  0.0            1            1          16           0         69 ALLOC_SPACE 
  0.0        0.153        0.153          16           0         10 MPI_Reduce() 
  0.0         0.02         0.02          16           0          1 SET_CONSTANTS 
  0.0         0.01         0.01          16           0          1 MAKE_SET 
  0.0        0.009        0.009          16           0          1 MPI_Comm_size() 
  0.0        0.008        0.008          16           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.002        0.002          16           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00588        4,185           1           1    4185555 .TAU application
100.0        0.362        4,185           1     419.062    4185549 MPSP 
 71.5        0.921        2,991         401        2406       7461 ADI 
 21.2           78          888         402        5628       2210 COPY_FACES 
 16.9          238          706         401       10426       1761 Y_SOLVE 
 16.5          221          688         401       10426       1717 Z_SOLVE 
 15.4          645          645         402           0       1607 COMPUTE_RHS 
 15.2          637          637        7620           0         84 MPI_Waitall() 
 14.9          320          623         401       10426       1554 X_SOLVE 
 13.6          569          569           1           0     569587 MPI_Finalize() 
 12.3       0.0286          515           1           5     515887 SETUP_MPI 
 12.3          515          515           1           0     515114 MPI_Init() 
  5.6          234          234        1604           0        146 LHSZ 
  5.1          213          213        1604           0        133 LHSX 
  4.0          166          166        1604           0        104 LHSY 
  1.5           28           61           2      199680      30811 INITIALIZE 
  1.5           61           61        9630           0          6 MPI_Isend() 
  1.2           49           49        1604           0         31 TZETAR 
  1.1           45           45         401           0        112 ADD 
  1.1           44           44      270841           0          0 EXACT_SOLUTION 
  1.0           41           41         401           0        103 TXINVR 
  0.5           10           19           1       54777      19376 EXACT_RHS 
  0.4           18           18           2           0       9214 MPI_Barrier() 
  0.4           14           14        1604           0          9 PINVR 
  0.3           14           14        1604           0          9 NINVR 
  0.2            8            8        9630           0          1 MPI_Irecv() 
  0.2       0.0141            6           1           3       6466 VERIFY 
  0.1            1            4           1       16385       4309 ERROR_NORM 
  0.0            1            1           1           0       1393 LHSINIT 
  0.0        0.743        0.743           2           0        372 MPI_Comm_dup() 
  0.0        0.666        0.666           4           0        166 MPI_Bcast() 
  0.0        0.315        0.315           2           0        158 MPI_Allreduce() 
  0.0       0.0338        0.192           1           1        192 RHS_NORM 
  0.0       0.0687       0.0687           1           0         69 ALLOC_SPACE 
  0.0      0.00956      0.00956           1           0         10 MPI_Reduce() 
  0.0      0.00125      0.00125           1           0          1 SET_CONSTANTS 
  0.0     0.000625     0.000625           1           0          1 MAKE_SET 
  0.0     0.000562     0.000562           1           0          1 MPI_Comm_size() 
  0.0       0.0005       0.0005           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0     0.000125     0.000125           1           0          0 MPI_Comm_rank() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
