Name,#Call
.TAU_application,1
MPSP,1
MPI_Finalize(),1
SETUP_MPI,1
MPI_Init(),1
ADI,101
COPY_FACES,102
COMPUTE_RHS,102
X_SOLVE,101
Z_SOLVE,101
Y_SOLVE,101
INITIALIZE,2
EXACT_SOLUTION,27792
LHSX,101
LHSZ,101
LHSY,101
EXACT_RHS,1
TZETAR,101
VERIFY,1
TXINVR,101
ADD,101
ERROR_NORM,1
PINVR,101
NINVR,101
LHSINIT,1
MPI_Comm_dup(),2
ALLOC_SPACE,1
MPI_Allreduce(),2
MPI_Bcast(),4
MPI_Reduce(),1
RHS_NORM,1
MPI_Barrier(),2
MAKE_SET,1
MPI_Comm_size(),1
SET_CLASS,1
SET_CONSTANTS,1
COMPUTE_BUFFER_SIZE,1
MPI_Comm_rank(),1
