Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.024       28,976           4           4    7244065 .TAU application
100.0            1       28,976           4         477    7244059 MPSP 
 91.2       26,436       26,436           4           0    6609141 MPI_Finalize() 
  8.3         0.14        2,395           4          20     598870 SETUP_MPI 
  8.3        2,394        2,394           4           0     598544 MPI_Init() 
  0.4        0.608          125         404        2424        312 ADI 
  0.2            5           47         408        5712        117 COPY_FACES 
  0.1           39           39        2832           0         14 MPI_Waitall() 
  0.1            7           31         404        4040         77 X_SOLVE 
  0.1           26           26         408           0         64 COMPUTE_RHS 
  0.1            8           22         404        4040         56 Y_SOLVE 
  0.1            8           20         404        4040         52 Z_SOLVE 
  0.0            4            8           8       22464       1045 INITIALIZE 
  0.0            6            6        4872           0          1 MPI_Isend() 
  0.0            5            5         808           0          7 LHSX 
  0.0            5            5       28992           0          0 EXACT_SOLUTION 
  0.0            4            4         808           0          6 LHSZ 
  0.0            4            4         808           0          6 LHSY 
  0.0            2            2        4872           0          1 MPI_Irecv() 
  0.0            2            2          16           0        143 MPI_Bcast() 
  0.0            2            2           8           0        271 MPI_Barrier() 
  0.0            1            2           4        4800        514 EXACT_RHS 
  0.0            2            2         808           0          2 TZETAR 
  0.0            1            1         404           0          5 TXINVR 
  0.0        0.147            1           4          12        404 VERIFY 
  0.0            1            1           8           0        146 MPI_Comm_dup() 
  0.0            1            1         404           0          3 ADD 
  0.0        0.318        0.965           4        1732        241 ERROR_NORM 
  0.0        0.886        0.886         808           0          1 PINVR 
  0.0        0.831        0.831         808           0          1 NINVR 
  0.0         0.44         0.44           8           0         55 MPI_Allreduce() 
  0.0         0.25         0.25           4           0         62 ALLOC_SPACE 
  0.0        0.223        0.223           4           0         56 LHSINIT 
  0.0        0.007        0.127           4           4         32 RHS_NORM 
  0.0        0.034        0.034           4           0          8 MPI_Reduce() 
  0.0        0.007        0.007           4           0          2 SET_CONSTANTS 
  0.0        0.002        0.002           4           0          0 MAKE_SET 
  0.0        0.001        0.001           4           0          0 COMPUTE_BUFFER_SIZE 
  0.0            0            0           4           0          0 MPI_Comm_rank() 
  0.0            0            0           4           0          0 MPI_Comm_size() 
  0.0            0            0           1           0          0 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.006        7,244           1           1    7244065 .TAU application
100.0        0.332        7,244           1      119.25    7244059 MPSP 
 91.2        6,609        6,609           1           0    6609141 MPI_Finalize() 
  8.3        0.035          598           1           5     598870 SETUP_MPI 
  8.3          598          598           1           0     598544 MPI_Init() 
  0.4        0.152           31         101         606        312 ADI 
  0.2            1           11         102        1428        117 COPY_FACES 
  0.1            9            9         708           0         14 MPI_Waitall() 
  0.1            1            7         101        1010         77 X_SOLVE 
  0.1            6            6         102           0         64 COMPUTE_RHS 
  0.1            2            5         101        1010         56 Y_SOLVE 
  0.1            2            5         101        1010         52 Z_SOLVE 
  0.0            1            2           2        5616       1045 INITIALIZE 
  0.0            1            1        1218           0          1 MPI_Isend() 
  0.0            1            1         202           0          7 LHSX 
  0.0            1            1        7248           0          0 EXACT_SOLUTION 
  0.0            1            1         202           0          6 LHSZ 
  0.0            1            1         202           0          6 LHSY 
  0.0        0.621        0.621        1218           0          1 MPI_Irecv() 
  0.0        0.571        0.571           4           0        143 MPI_Bcast() 
  0.0        0.542        0.542           2           0        271 MPI_Barrier() 
  0.0         0.29        0.514           1        1200        514 EXACT_RHS 
  0.0        0.502        0.502         202           0          2 TZETAR 
  0.0         0.47         0.47         101           0          5 TXINVR 
  0.0       0.0367        0.404           1           3        404 VERIFY 
  0.0        0.291        0.291           2           0        146 MPI_Comm_dup() 
  0.0        0.266        0.266         101           0          3 ADD 
  0.0       0.0795        0.241           1         433        241 ERROR_NORM 
  0.0        0.222        0.222         202           0          1 PINVR 
  0.0        0.208        0.208         202           0          1 NINVR 
  0.0         0.11         0.11           2           0         55 MPI_Allreduce() 
  0.0       0.0625       0.0625           1           0         62 ALLOC_SPACE 
  0.0       0.0558       0.0558           1           0         56 LHSINIT 
  0.0      0.00175       0.0318           1           1         32 RHS_NORM 
  0.0       0.0085       0.0085           1           0          8 MPI_Reduce() 
  0.0      0.00175      0.00175           1           0          2 SET_CONSTANTS 
  0.0       0.0005       0.0005           1           0          0 MAKE_SET 
  0.0      0.00025      0.00025           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 MPI_Comm_size() 
  0.0            0            0        0.25           0          0 SET_CLASS 
