,"[1, 2, 4, 8, 16, 32, 64, 128, 256]","[1, 2, 4, 8, 16, 32, 64, 128]","[1, 2, 4, 8, 16, 32]","[1, 2, 4, 8]","[1, 2]"
.TAU_application,0.0,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0,0.0
CFFTS1,0.0,0.0,0.0,0.0,115.454
CFFTZ,0.072,0.48,686.129,3660.428,2.4943578879999576e+16
CHECKSUM,0.0,0.0,0.0,0.0,177.799
COMPUTE_INDEXMAP,0.0,0.0,0.0,0.0,0.0
COMPUTE_INITIAL_CONDITIONS,0.0,0.0,0.0,0.0,0.0
EVOLVE,0.0,0.0,0.0,0.0,177.799
FFT,0.0,0.0,0.0,0.0,1.002
FFTZ2,0.08,0.55,686.13,3660.438,4.658374629091588e+16
FFT_INIT,0.0,0.0,0.0,0.0,0.0
FT,0.0,0.0,0.0,0.0,0.0
ILOG2,0.0,0.0,0.0,0.0,156.882
IPOW46,0.0,0.0,0.0,0.0,0.0
MPI_Alltoall(),0.0,0.0,0.0,0.0,69.272
MPI_Barrier(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_split(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0,177.799
SETUP,0.0,0.0,0.0,0.0,0.0
SET_CLASS,0.085,0.607,686.129,3660.428,1.003
VERIFY,0.0,0.0,0.0,0.0,0.0
