,"[1, 2, 4, 8, 16, 32, 64, 128, 256]","[1, 2, 4, 8, 16, 32, 64, 128]","[1, 2, 4, 8, 16, 32]","[1, 2, 4, 8]","[1, 2]"
.TAU_application,0.0,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0,0.0
MPI_Alltoall(),0.0,0.0,0.0,0.0,0.0
MPI_Alltoallv(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
MPI_Irecv(),0.047,0.076,0.105,1.125,0.996
MPI_Reduce(),0.0,0.0,0.0,0.0,0.0
MPI_Send(),0.047,0.076,0.105,1.125,0.996
MPI_Wait(),0.047,0.076,0.105,1.125,0.996
double_find_my_seed(int_int_long_double_double),0.0,0.0,0.0,0.0,0.0
double_randlc(double_*_double_*),0.463,2.937,686.091,3660.231,1.1788305163707212e+21
int_main(int_char_**),0.0,0.0,0.0,0.0,0.0
void_alloc_space(void),0.0,0.0,0.0,0.0,0.0
void_create_seq(double_double),0.0,0.0,0.0,0.0,0.0
void_full_verify(void),0.0,0.0,0.0,0.0,0.0
void_rank(int),0.0,0.0,0.0,0.0,0.0
