,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
CFFTS1,0.089,0.185,0.555
CFFTZ,0.749,1.001,0.985
CHECKSUM,0.224,0.2,0.76
COMPUTE_INDEXMAP,0.0,0.0,0.0
COMPUTE_INITIAL_CONDITIONS,0.0,0.0,0.0
EVOLVE,0.224,0.2,0.76
FFT,0.182,0.185,0.703
FFTZ2,0.749,1.001,0.989
FFT_INIT,0.0,0.0,0.0
FT,0.0,0.0,0.0
ILOG2,0.171,0.18,0.686
IPOW46,0.0,0.0,0.0
MPI_Alltoall(),0.028,0.185,0.407
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Comm_split(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Reduce(),0.224,0.2,0.76
SETUP,0.0,0.0,0.0
SET_CLASS,0.75,0.75,0.75
VERIFY,0.0,0.0,0.0
