,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
APPLU,0.0,0.0,0.0
BCAST_INPUTS,0.0,0.0,0.0
BLTS,0.512,0.567,0.99
BUTS,0.512,0.567,0.99
ERHS,0.0,0.0,0.0
ERROR,0.0,0.0,0.0
EXACT,0.747,0.737,0.999
EXCHANGE_1,0.027,0.15,0.872
EXCHANGE_3,0.0,0.164,0.164
EXCHANGE_4,0.0,0.0,0.0
EXCHANGE_5,0.5,0.5,0.5
EXCHANGE_6,0.5,0.5,0.5
INIT_COMM,0.0,0.0,0.0
ISQRT2,0.0,0.0,0.0
JACLD,0.512,0.567,0.99
JACU,0.512,0.567,0.99
L2NORM,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),0.07,0.104,0.104
MPI_Recv(),0.041,0.09,0.863
MPI_Send(),0.04,0.096,0.861
MPI_Wait(),0.07,0.104,0.104
NEIGHBORS,0.0,0.0,0.0
PINTGR,0.0,0.0,0.0
PROC_GRID,0.0,0.0,0.0
READ_INPUT,0.0,0.0,0.0
RHS,0.0,0.165,0.165
SETBV,0.0,0.0,0.0
SETCOEFF,0.0,0.0,0.0
SETIV,0.0,0.0,0.0
SET_CLASS,0.75,0.75,0.75
SSOR,0.0,0.0,0.0
SUBDOMAIN,0.0,0.0,0.0
VERIFY,0.75,0.75,0.75
