,"[1, 2, 4, 8, 16, 32, 64, 128, 256]","[1, 2, 4, 8, 16, 32, 64, 128]","[1, 2, 4, 8, 16, 32]","[1, 2, 4, 8]","[1, 2]"
.TAU_application,0.0,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0,0.0
CG,0.0,0.0,0.0,0.0,0.0
CONJ_GRAD,0.0,0.0,0.0,3.7794826370218094e-15,0.0
ICNVRT,2.8072908652923318e-05,2.8072908652923318e-05,2.8072908652923318e-05,5.967038511274178e-05,7.843535448042393e-15
INITIALIZE_MPI,0.0,0.0,0.0,0.0,0.0
MAKEA,0.0,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
MPI_Irecv(),21.606784292041038,19.368423456616654,12.013639848676446,12.905721606586312,8.826617835529194e-15
MPI_Reduce(),0.0,0.0,0.0,0.0,0.0
MPI_Send(),21.606784292041038,19.368423456616654,12.013639848676446,12.905721606586312,8.826617835529194e-15
MPI_Wait(),21.606784292041038,19.368423456616654,12.013639848676446,12.905721606586312,8.826617835529194e-15
SETUP_PROC_INFO,0.0,0.0,0.0,0.0,0.0
SETUP_SUBMATRIX_INFO,0.0,0.0,0.0,0.0,0.0
SPARSE,0.0,0.0,0.0,0.0,0.0
SPRNVC,5.528914989020334e-15,5.528914989020334e-15,5.528914989020334e-15,0.0,0.0
VECSET,5.528914989020334e-15,5.528914989020334e-15,5.528914989020334e-15,0.0,0.0
Average,2.9463809522287168,2.641149929216301,1.6382248917699094,1.7598738404610932,1.5601540433922715e-15
