FunctionName,"[1, 2, 4, 8, 16, 32, 64, 128, 256]","[1, 2, 4, 8, 16, 32, 64, 128]","[1, 2, 4, 8, 16, 32]","[1, 2, 4, 8]","[1, 2]"
.TAU_application,0.0,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0,0.0
CFFTS1,0.0,0.0,0.0,0.0,7.401486830834376e-15
CFFTZ,101.76619844056438,102.86041138144782,51.13911290322578,10.714285714285714,1.7460780296377462e-13
CHECKSUM,0.0,0.0,0.0,0.0,2.9605947323337504e-14
COMPUTE_INDEXMAP,0.0,0.0,0.0,0.0,0.0
COMPUTE_INITIAL_CONDITIONS,0.0,0.0,0.0,0.0,0.0
EVOLVE,0.0,0.0,0.0,0.0,2.9605947323337504e-14
FFT,0.0,0.0,0.0,0.0,1.6148698540002278e-14
FFTZ2,102.98684364029131,104.17423094999947,51.13923044278342,10.714343714103492,2.3794995258155116e-13
FFT_INIT,0.0,0.0,0.0,0.0,0.0
FT,0.0,0.0,0.0,0.0,0.0
ILOG2,0.0,0.0,0.0,0.0,1.3664283380001927e-14
IPOW46,0.0,0.0,0.0,0.0,0.0
MPI_Alltoall(),0.0,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_split(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0,2.9605947323337504e-14
SETUP,0.0,0.0,0.0,0.0,0.0
SET_CLASS,103.83072061203806,105.09684210108088,51.13911290322578,10.71428571428572,1.1102230246251565e-14
VERIFY,0.0,0.0,0.0,0.0,0.0
Average,11.86860625741899,12.005057093558776,5.900671394201345,1.2362659670259588,2.114201140432417e-14
